# Time-averaged data for fix boxdump
# TimeStep v_lx_val v_ly_val v_lz_val
100000 17.9487 17.9487 17.9487
101000 17.9606 17.9606 17.9606
102000 17.945 17.945 17.945
103000 17.9416 17.9416 17.9416
104000 17.9258 17.9258 17.9258
105000 17.952 17.952 17.952
106000 17.9286 17.9286 17.9286
107000 17.9415 17.9415 17.9415
108000 17.9559 17.9559 17.9559
109000 17.9602 17.9602 17.9602
110000 17.9232 17.9232 17.9232
111000 17.932 17.932 17.932
112000 17.972 17.972 17.972
113000 17.9482 17.9482 17.9482
114000 17.9331 17.9331 17.9331
115000 17.9466 17.9466 17.9466
116000 17.9393 17.9393 17.9393
117000 17.9284 17.9284 17.9284
118000 17.9425 17.9425 17.9425
119000 17.9601 17.9601 17.9601
120000 17.9435 17.9435 17.9435
121000 17.9545 17.9545 17.9545
122000 17.9334 17.9334 17.9334
123000 17.9346 17.9346 17.9346
124000 17.9327 17.9327 17.9327
125000 17.9262 17.9262 17.9262
126000 17.9663 17.9663 17.9663
127000 17.9392 17.9392 17.9392
128000 17.9429 17.9429 17.9429
129000 17.961 17.961 17.961
130000 17.9453 17.9453 17.9453
131000 17.933 17.933 17.933
132000 17.9393 17.9393 17.9393
133000 17.9473 17.9473 17.9473
134000 17.9415 17.9415 17.9415
135000 17.9589 17.9589 17.9589
136000 17.9496 17.9496 17.9496
137000 17.9371 17.9371 17.9371
138000 17.944 17.944 17.944
139000 17.9605 17.9605 17.9605
140000 17.9512 17.9512 17.9512
141000 17.9424 17.9424 17.9424
142000 17.9185 17.9185 17.9185
143000 17.9301 17.9301 17.9301
144000 17.9708 17.9708 17.9708
145000 17.9492 17.9492 17.9492
146000 17.9288 17.9288 17.9288
147000 17.9468 17.9468 17.9468
148000 17.9329 17.9329 17.9329
149000 17.9367 17.9367 17.9367
150000 17.9338 17.9338 17.9338
151000 17.9552 17.9552 17.9552
152000 17.9508 17.9508 17.9508
153000 17.9088 17.9088 17.9088
154000 17.9274 17.9274 17.9274
155000 17.9408 17.9408 17.9408
156000 17.9579 17.9579 17.9579
157000 17.9539 17.9539 17.9539
158000 17.9181 17.9181 17.9181
159000 17.9264 17.9264 17.9264
160000 17.9323 17.9323 17.9323
161000 17.9438 17.9438 17.9438
162000 17.9399 17.9399 17.9399
163000 17.9147 17.9147 17.9147
164000 17.9576 17.9576 17.9576
165000 17.9603 17.9603 17.9603
166000 17.9548 17.9548 17.9548
167000 17.9329 17.9329 17.9329
168000 17.9618 17.9618 17.9618
169000 17.9295 17.9295 17.9295
170000 17.9459 17.9459 17.9459
171000 17.9378 17.9378 17.9378
172000 17.9234 17.9234 17.9234
173000 17.9596 17.9596 17.9596
174000 17.9585 17.9585 17.9585
175000 17.9487 17.9487 17.9487
176000 17.9256 17.9256 17.9256
177000 17.9462 17.9462 17.9462
178000 17.9325 17.9325 17.9325
179000 17.9608 17.9608 17.9608
180000 17.953 17.953 17.953
181000 17.9345 17.9345 17.9345
182000 17.9071 17.9071 17.9071
183000 17.9449 17.9449 17.9449
184000 17.9656 17.9656 17.9656
185000 17.9664 17.9664 17.9664
186000 17.9355 17.9355 17.9355
187000 17.932 17.932 17.932
188000 17.9557 17.9557 17.9557
