Node: d1028  Start: Mon Jun 22 05:07:08 AM EDT 2026
LAMMPS (11 Feb 2026 - Development - patch_11Feb2026-99-gb75dfcc930-modified)
W0622 05:07:43.990000 1102043 site-packages/torch/fx/_symbolic_trace.py:56] is_fx_tracing will return true for both fx.symbolic_trace and torch.export. Please use is_fx_tracing_symbolic_tracing() for specifically fx.symbolic_trace or torch.compiler.is_compiling() for specifically torch.export/compile.
KOKKOS mode with Kokkos version 5.0.2 is enabled
  using double precision
  using view layout = legacy
  will use up to 1 GPU(s) per node
  using 1 OpenMP thread(s) per MPI task
Reading data file ...
  orthogonal box = (-0.0045823087 -0.0045823087 -0.0045823087) to (17.859582 17.859582 17.859582)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  500 atoms
  reading velocities ...
  500 velocities
  read_data CPU = 0.021 seconds

CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE

Your simulation uses code contributions which should be cited:
- KOKKOS package: https://doi.org/10.1145/3731599.3767498
The log file lists these citations in BibTeX format.

CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE

Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 8
  ghost atom cutoff = 8
  binsize = 8, bins = 3 3 3
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair mliap/kk, perpetual
      attributes: full, newton on, kokkos_device
      pair build: full/bin/kk/device
      stencil: full/bin/3d
      bin: kk/device
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.0005
Per MPI rank memory allocation (min/avg/max) = 112.8 | 112.8 | 112.8 Mbytes
   Step          Time           Temp          PotEng         KinEng         Press          Volume           Lx             Ly             Lz      
         0   0              700           -3250.6152      45.150569      8459.2953      5700.9619      17.864165      17.864165      17.864165    
       100   0.05           225.43584     -3220.0031      14.540795      30928.985      5700.9656      17.864168      17.864168      17.864168    
       200   0.1            334.50477     -3227.0386      21.575829      25692.059      5700.9792      17.864183      17.864183      17.864183    
       300   0.15           335.14858     -3227.0814      21.617356      23539.813      5701.0012      17.864206      17.864206      17.864206    
       400   0.2            362.36352     -3228.8383      23.372742      22464.8        5701.0313      17.864237      17.864237      17.864237    
       500   0.25           365.40399     -3229.0361      23.568854      26879.605      5701.0699      17.864277      17.864277      17.864277    
       600   0.3            359.08046     -3228.6301      23.160981      24168.661      5701.1177      17.864327      17.864327      17.864327    
       700   0.35           364.32007     -3228.9702      23.49894       23664.093      5701.1741      17.864386      17.864386      17.864386    
       800   0.4            363.51269     -3228.9207      23.446864      26422.804      5701.2389      17.864454      17.864454      17.864454    
       900   0.45           361.33861     -3228.7831      23.306634      23272.806      5701.3127      17.864531      17.864531      17.864531    
      1000   0.5            368.86403     -3229.2715      23.792029      23861.808      5701.3951      17.864617      17.864617      17.864617    
      1100   0.55           359.61304     -3228.6777      23.195333      23255.706      5701.4859      17.864712      17.864712      17.864712    
      1200   0.6            351.94279     -3228.1861      22.700596      24228.445      5701.5851      17.864816      17.864816      17.864816    
      1300   0.65           372.247       -3229.4993      24.010234      25860.73       5701.6927      17.864928      17.864928      17.864928    
      1400   0.7            347.48276     -3227.9057      22.41292       26412.425      5701.8092      17.86505       17.86505       17.86505     
      1500   0.75           375.0692      -3229.6893      24.192268      24269.203      5701.9349      17.865181      17.865181      17.865181    
      1600   0.8            348.59847     -3227.986       22.484885      25062.006      5702.0695      17.865321      17.865321      17.865321    
      1700   0.85           369.89856     -3229.3643      23.858758      23794.525      5702.2129      17.865471      17.865471      17.865471    
      1800   0.9            357.03931     -3228.5392      23.029326      25973.696      5702.3648      17.86563       17.86563       17.86563     
      1900   0.95           357.80778     -3228.5935      23.078893      24259.23       5702.5257      17.865798      17.865798      17.865798    
      2000   1              365.5147      -3229.0953      23.575995      21787.22       5702.6951      17.865975      17.865975      17.865975    
      2100   1.05           354.17912     -3228.3687      22.844841      24267.426      5702.8724      17.86616       17.86616       17.86616     
      2200   1.1            351.56429     -3228.2052      22.676182      23238.868      5703.058       17.866354      17.866354      17.866354    
      2300   1.15           365.88933     -3229.1343      23.600159      21090.653      5703.2517      17.866556      17.866556      17.866556    
      2400   1.2            362.19381     -3228.9013      23.361795      22057.061      5703.4531      17.866766      17.866766      17.866766    
      2500   1.25           369.69923     -3229.3906      23.8459        23797.767      5703.6624      17.866985      17.866985      17.866985    
      2600   1.3            349.60549     -3228.1001      22.549838      22804.386      5703.8801      17.867212      17.867212      17.867212    
      2700   1.35           361.36356     -3228.8644      23.308243      24955.226      5704.106       17.867448      17.867448      17.867448    
      2800   1.4            363.23532     -3228.9911      23.428973      24021.911      5704.3404      17.867693      17.867693      17.867693    
      2900   1.45           369.89116     -3229.4267      23.858281      23650.291      5704.5834      17.867947      17.867947      17.867947    
      3000   1.5            379.43735     -3230.0489      24.474017      22817.451      5704.8349      17.868209      17.868209      17.868209    
      3100   1.55           353.79368     -3228.4011      22.81998       23777.616      5705.0947      17.86848       17.86848       17.86848     
      3200   1.6            357.92725     -3228.6743      23.086598      23934.524      5705.3628      17.86876       17.86876       17.86876     
      3300   1.65           359.45555     -3228.7796      23.185175      23125.07       5705.6394      17.869049      17.869049      17.869049    
      3400   1.7            348.36186     -3228.0706      22.469623      23319.12       5705.9242      17.869346      17.869346      17.869346    
      3500   1.75           364.87011     -3229.1421      23.534419      22167.377      5706.217       17.869652      17.869652      17.869652    
      3600   1.8            353.02828     -3228.3854      22.770611      23757.808      5706.5178      17.869966      17.869966      17.869966    
      3700   1.85           369.83812     -3229.477       23.854859      23479.439      5706.827       17.870289      17.870289      17.870289    
      3800   1.9            350.20113     -3228.2175      22.588258      22141.907      5707.1444      17.87062       17.87062       17.87062     
      3900   1.95           357.55393     -3228.6989      23.062519      21906.494      5707.4697      17.87096       17.87096       17.87096     
      4000   2              357.51374     -3228.7039      23.059926      22530.164      5707.8028      17.871307      17.871307      17.871307    
      4100   2.05           370.66195     -3229.5594      23.907997      21640.024      5708.1439      17.871663      17.871663      17.871663    
      4200   2.1            357.26393     -3228.7028      23.043814      22619.866      5708.4928      17.872027      17.872027      17.872027    
