# Time-averaged data for fix msd_out
# TimeStep c_msd_H[4]
500000 0
501000 0.121455
502000 0.250678
503000 0.0400902
504000 0.145035
505000 0.161833
506000 0.12871
507000 0.106718
508000 0.122513
509000 0.100066
510000 0.381104
511000 0.514052
512000 0.0493955
513000 0.191048
514000 0.413641
515000 0.32477
516000 0.158926
517000 0.487735
518000 0.184523
519000 0.21638
520000 0.0957704
521000 0.348994
522000 0.0266503
523000 0.0603159
524000 0.0520267
525000 0.0216249
526000 0.127805
527000 0.0424714
528000 0.227786
529000 0.0354533
530000 0.368691
531000 0.199346
532000 0.265267
533000 0.105482
534000 0.225825
535000 0.143671
536000 0.0430163
537000 0.0157964
538000 0.214038
539000 0.0275678
540000 0.574316
541000 0.458986
542000 0.017491
543000 0.125109
544000 0.0383017
545000 0.101433
546000 0.118461
547000 0.0474912
548000 0.0846703
549000 0.197602
550000 0.300734
551000 0.120261
552000 0.0721135
553000 0.0563005
554000 0.131686
555000 0.114621
556000 0.0483909
557000 0.0640368
558000 0.14096
559000 0.20063
560000 0.0932604
561000 0.121828
562000 0.0634329
563000 0.0712844
564000 0.0633334
565000 0.166547
566000 0.0977334
567000 0.145815
568000 0.0862014
569000 0.0632133
570000 0.00959567
571000 0.122757
572000 0.141892
573000 0.0642908
574000 0.17342
575000 0.144739
576000 0.180069
577000 0.089891
578000 0.221719
579000 0.0716531
580000 0.103296
581000 0.235477
582000 0.102693
583000 0.348399
584000 0.202029
585000 0.144436
586000 0.286985
587000 0.117477
588000 0.0318886
589000 0.199997
590000 0.121367
591000 0.187138
592000 0.159137
593000 0.0977057
594000 0.128732
595000 0.0230976
596000 0.0188498
597000 0.0858398
598000 0.0440762
599000 0.253374
600000 0.0390048
601000 0.109436
602000 0.129152
603000 0.197461
604000 0.175019
605000 0.0656798
606000 0.025447
607000 0.0137642
608000 0.0659009
609000 0.198639
610000 0.197441
611000 0.12886
612000 0.0658
613000 0.149907
614000 0.0465424
615000 0.124064
616000 0.273682
617000 0.379431
618000 0.156859
619000 0.0278446
620000 0.020153
621000 0.0268967
622000 0.0404396
623000 0.107868
624000 0.36224
625000 0.467823
626000 0.306449
627000 0.194914
628000 0.0717848
629000 0.10456
630000 0.0606042
631000 0.264588
632000 0.0321583
633000 0.0864039
634000 0.206382
635000 0.285396
636000 0.146112
637000 0.0253076
638000 0.183079
639000 0.169607
640000 0.167488
641000 0.273634
642000 0.205329
643000 0.15975
644000 0.160896
645000 0.0657906
646000 0.0666295
647000 0.0620804
648000 0.185156
649000 0.0623725
650000 0.0954485
651000 0.128822
652000 0.225295
653000 0.0250708
654000 0.125039
655000 0.0102144
656000 0.140629
657000 0.0390942
658000 0.119662
659000 0.146667
660000 0.153899
661000 0.0849207
662000 0.143688
663000 0.145866
664000 0.0993283
665000 0.113012
666000 0.0438541
667000 0.0703791
668000 0.158222
669000 0.0811284
670000 0.023767
671000 0.097679
672000 0.0249433
673000 0.0326302
674000 0.145657
675000 0.029045
676000 0.0924118
677000 0.057251
678000 0.0915442
679000 0.0199945
680000 0.0826657
681000 0.261764
682000 0.369302
683000 0.335811
684000 0.0593421
685000 0.170302
686000 0.150081
687000 0.23011
688000 0.174914
689000 0.0954001
690000 0.0314235
691000 0.215677
692000 0.0776142
693000 0.141097
694000 0.258694
695000 0.0351927
696000 0.106064
697000 0.257839
698000 0.226706
699000 0.0264857
700000 0.119211
701000 0.0350905
702000 0.18041
703000 0.00179438
704000 0.104548
705000 0.0869721
706000 0.0540299
707000 0.0916801
708000 0.062305
709000 0.0862397
710000 0.0808959
711000 0.0807644
712000 0.0559552
713000 0.0958473
714000 0.180654
715000 0.0535429
716000 0.0780062
717000 0.0707706
718000 0.0551754
719000 0.0193638
720000 0.136093
721000 0.192952
722000 0.103452
723000 0.0943025
724000 0.0559535
725000 0.0684144
726000 0.0645197
727000 0.0935451
728000 0.178788
729000 0.127006
730000 0.0114726
731000 0.00979538
732000 0.197114
733000 0.0344605
734000 0.103746
735000 0.154085
736000 0.0546226
737000 0.0447252
738000 0.10195
739000 0.199812
740000 0.0974682
741000 0.0747467
742000 0.0572277
743000 0.0458351
744000 0.232299
745000 0.134742
746000 0.179412
747000 0.0108094
748000 0.0163315
749000 0.068979
750000 0.468058
751000 0.185537
752000 0.152955
753000 0.254176
754000 0.0971886
755000 0.00432613
756000 0.127729
757000 0.130283
758000 0.257047
759000 0.159088
760000 0.0431399
761000 0.198121
762000 0.0287997
763000 0.022046
764000 0.0247517
765000 0.392723
766000 0.056499
767000 0.106105
768000 0.273952
769000 0.356565
770000 0.0210054
771000 0.0588194
772000 0.0591663
773000 0.144909
774000 0.0673973
775000 0.0920535
776000 0.0434768
777000 0.0833041
778000 0.0638149
779000 0.0730968
780000 0.07824
781000 0.208595
782000 0.204698
783000 0.149707
784000 0.150828
785000 0.0626124
786000 0.10578
787000 0.115157
788000 0.122633
789000 0.0169192
790000 0.095997
791000 0.113432
792000 0.0155377
793000 0.15808
794000 0.0961708
795000 0.0338934
796000 0.188938
797000 0.0405632
798000 0.213311
799000 0.138836
800000 0.063994
801000 0.0349684
802000 0.0759362
803000 0.0487341
804000 0.0304026
805000 0.189548
806000 0.0544872
807000 0.120894
808000 0.0541028
809000 0.120374
810000 0.0722613
811000 0.152521
812000 0.0710417
813000 0.00967008
814000 0.131608
815000 0.101324
816000 0.130435
817000 0.00299256
818000 0.0149767
819000 0.175541
820000 0.0934169
821000 0.119596
822000 0.0263865
823000 0.2161
824000 0.0139836
825000 0.168484
826000 0.00461477
827000 0.0392271
828000 0.199612
829000 0.0181169
830000 0.315644
831000 0.223256
832000 0.130395
833000 0.142752
834000 0.122924
835000 0.0332144
836000 0.236312
837000 0.193229
838000 0.236078
839000 0.0391753
840000 0.210565
841000 0.149052
842000 0.0116102
843000 0.11542
844000 0.187476
845000 0.039966
846000 0.236896
847000 0.184758
848000 0.0871403
849000 0.0438126
850000 0.0533909
851000 0.298494
852000 0.127952
853000 0.160949
854000 0.0804769
855000 0.0974391
856000 0.0929293
857000 0.30363
858000 0.00880563
859000 0.0823064
860000 0.0172933
861000 0.17555
862000 0.189232
863000 0.0440739
864000 0.0195095
865000 0.0568118
866000 0.0889767
867000 0.112242
868000 0.0703041
869000 0.160464
870000 0.117491
871000 0.114261
872000 0.114938
873000 0.0824007
874000 0.04907
875000 0.181491
876000 0.205697
877000 0.237114
878000 0.0841712
879000 0.145437
880000 0.031288
881000 0.136872
882000 0.0739772
883000 0.0671785
884000 0.125046
885000 0.0490616
886000 0.22178
887000 0.0364506
888000 0.0459645
889000 0.0335667
890000 0.0737139
891000 0.117294
892000 0.146779
893000 0.0107621
894000 0.0151233
895000 0.232619
896000 0.135344
897000 0.0721307
898000 0.186775
899000 0.0331089
900000 0.165354
901000 0.505664
902000 0.0897711
903000 0.197554
904000 0.0650124
905000 0.313844
906000 0.12392
907000 0.034944
908000 0.0340403
909000 0.15031
910000 0.195882
911000 0.264104
912000 0.197851
913000 0.0927912
914000 0.0302388
915000 0.159871
916000 0.10788
917000 0.173446
918000 0.12667
919000 0.218195
920000 0.142543
921000 0.0517878
922000 0.164816
923000 0.138223
924000 0.0689522
925000 0.0938399
926000 0.0201231
927000 0.11341
928000 0.14707
929000 0.0795427
930000 0.153155
931000 0.090803
932000 0.0160717
933000 0.0676812
934000 0.229582
935000 0.171173
936000 0.0793498
937000 0.020423
938000 0.102952
939000 0.077432
940000 0.0856815
941000 0.171816
942000 0.0741159
943000 0.0436898
944000 0.0206296
945000 0.15556
946000 0.0871385
947000 0.0120365
948000 0.140636
949000 0.159306
950000 0.0550529
951000 0.217914
952000 0.0274946
953000 0.0670177
954000 0.113885
955000 0.374128
956000 0.114913
957000 0.0969438
958000 0.125675
959000 0.266593
960000 0.138357
961000 0.0628046
962000 0.237094
963000 0.0642045
964000 0.23029
965000 0.079576
966000 0.105368
967000 0.133942
968000 0.0379428
969000 0.120862
970000 0.00159514
971000 0.340858
972000 0.0660095
973000 0.174131
974000 0.031911
975000 0.0871439
976000 0.050182
977000 0.0166079
978000 0.247555
979000 0.116266
980000 0.0400018
981000 0.0859916
982000 0.122817
983000 0.181461
984000 0.0745368
985000 0.0585481
986000 0.0434506
987000 0.075679
988000 0.0721505
989000 0.0899644
990000 0.0217678
991000 0.14935
992000 0.00955917
993000 0.152402
994000 0.0458794
995000 0.102943
996000 0.11191
997000 0.0786128
998000 0.206835
999000 0.0561479
1000000 0.157457
1001000 0.233399
1002000 0.0733202
1003000 0.058141
1004000 0.145895
1005000 0.0922714
1006000 0.147864
1007000 0.171814
1008000 0.374611
1009000 0.118675
1010000 0.169145
1011000 0.026427
1012000 0.066927
1013000 0.114521
1014000 0.192182
1015000 0.06207
1016000 0.193188
1017000 0.137881
1018000 0.0968573
1019000 0.0873876
1020000 0.0896142
