# Time-averaged data for fix thermo_out
# TimeStep c_surf_temp
20400 285.145
20600 299.816
20800 285.713
21000 298.84
21200 301.744
21400 288.19
21600 277.482
21800 303.93
22000 297.827
22200 299.264
22400 291.903
22600 291.983
22800 285.827
23000 292.985
23200 292.385
23400 307.546
23600 290.401
23800 292.796
24000 283.777
24200 278.725
24400 293.66
24600 287.484
24800 317.581
25000 307.214
25200 287.865
25400 270.057
25600 301.305
25800 300.601
26000 301.656
26200 308.088
26400 283.576
26600 297.412
26800 294.382
27000 269.128
27200 325.48
27400 286.146
27600 297.644
27800 307.486
28000 286.368
28200 305.802
28400 299.031
28600 312.257
28800 303.728
29000 270.29
29200 301.138
29400 295.06
29600 286.622
29800 274.725
30000 293.079
30200 306.843
30400 297.858
30600 296.934
30800 300.366
31000 300.07
31200 305.847
31400 296.958
31600 285.637
31800 297.564
32000 312.038
32200 295.775
32400 283.189
32600 281.21
32800 305.425
33000 292.447
33200 310
33400 297.518
33600 293.722
33800 315.795
34000 295.9
34200 312.892
34400 297.459
34600 278.623
34800 297.822
35000 281.666
35200 294.067
35400 310.299
35600 260.039
35800 291.62
36000 284.489
36200 308.924
36400 310.588
36600 285.807
36800 283.148
37000 283.386
37200 291.402
37400 270.431
37600 290.108
37800 305.047
38000 307.121
38200 282.998
38400 309.939
38600 313.383
38800 310.863
39000 301.165
39200 289.696
39400 290.267
39600 311.25
39800 313.26
40000 298.104
40200 282.182
40400 286.356
40600 296.057
40800 289.501
41000 292.892
41200 297.959
41400 305.057
41600 292.758
41800 291.885
42000 296.686
42200 287.449
42400 285.751
42600 296.037
42800 301.79
43000 301.009
43200 316.736
43400 308.741
43600 297.688
43800 290.242
44000 294.168
44200 296.123
44400 278.431
44600 313.653
44800 301.39
45000 300.351
45200 303.262
45400 298.558
45600 297.974
45800 302.027
46000 310.016
46200 290.73
46400 321.559
46600 307.386
46800 295.864
47000 286.623
47200 296.984
47400 314.825
47600 283.979
47800 292.9
48000 281.845
48200 298.326
48400 304.571
48600 297.904
48800 310.15
49000 327.969
49200 282.809
49400 288.292
49600 304.478
49800 296.879
50000 300.015
50200 322.965
50400 312.048
50600 269.761
50800 306.816
51000 297.958
51200 311.608
51400 302.49
51600 285.563
51800 282.095
52000 296.111
52200 308.631
52400 292.156
52600 326.805
52800 309.111
53000 298.104
53200 300.548
53400 301.117
53600 289.714
53800 310.274
54000 305.307
54200 294.887
54400 297.599
54600 278.305
54800 298.406
55000 301.581
55200 311.732
55400 304.07
55600 297.678
55800 300.667
56000 294.122
56200 300.769
56400 302.33
56600 293.898
56800 298.959
57000 291.128
57200 307.345
57400 288.536
57600 313.539
57800 320.557
58000 301.239
58200 313.51
58400 309.205
58600 283.487
58800 300.121
59000 310.762
59200 301.178
59400 296.297
59600 294.263
59800 303.624
60000 285.063
60200 312.864
60400 300.536
60600 290.707
60800 304.002
61000 295.145
61200 286.185
61400 309.108
61600 297.243
61800 313.524
62000 294.837
62200 297.196
62400 308.397
62600 300.891
62800 316.744
63000 312.637
63200 287.977
63400 308.886
63600 309.833
63800 304.431
64000 308.174
64200 298.815
64400 287.437
64600 302.903
64800 315.255
65000 283.515
65200 302.383
65400 301.734
65600 307.855
65800 279.359
66000 303.373
66200 313.598
66400 302.322
66600 298.32
66800 300.925
67000 304.863
67200 301.575
67400 308.11
67600 283.872
67800 306.816
68000 315.719
68200 312.002
68400 304.131
68600 287.058
68800 310.458
69000 309.434
69200 288.034
69400 284.211
69600 313.319
69800 305.65
70000 308.299
70200 301.56
70400 304.667
70600 304.549
70800 300.194
71000 306.968
71200 311.128
71400 297.045
71600 309.654
71800 302.183
72000 301.251
72200 319.226
72400 286.11
72600 315.086
72800 296.033
73000 272.175
73200 320.753
73400 320.21
73600 299.827
73800 299.532
74000 281.72
74200 317.869
74400 289.243
74600 307.002
74800 299.685
75000 305.029
75200 306.904
75400 300.741
75600 318.626
75800 296.914
76000 311.07
76200 308.747
76400 286.085
76600 305.19
76800 313.574
77000 310.347
77200 299.359
77400 308.29
77600 296.895
77800 307.364
78000 305.531
78200 305.513
78400 286.443
78600 293.697
78800 296.387
79000 320.678
79200 286.23
79400 283.383
79600 288.951
79800 286.795
80000 282.765
80200 313.789
80400 298.6
80600 303.354
80800 289.247
81000 317.774
81200 319.98
81400 302.858
81600 311.203
81800 298.218
82000 301.971
82200 291.888
82400 303.594
82600 313.284
82800 299.514
83000 298.568
83200 313.388
83400 303.971
83600 284.42
83800 286.08
84000 311.089
84200 287.232
84400 278.05
84600 307.73
84800 300.709
85000 314.774
85200 304.008
85400 294.426
85600 286.233
85800 317.501
86000 317.64
86200 308.835
86400 296.863
86600 291.501
86800 308.433
87000 282.776
87200 301.821
87400 283.786
87600 295.84
87800 316.99
88000 303.716
88200 302.675
88400 279.749
88600 276.193
88800 290.36
89000 313.573
89200 293.13
89400 290.441
89600 285.678
89800 312.42
90000 285.824
90200 310.356
90400 290.192
90600 298.478
90800 302.68
91000 313.801
91200 285.255
91400 287.428
91600 291.153
91800 314.26
92000 310.206
92200 294.341
92400 299.06
92600 312.059
92800 300.25
93000 309.817
93200 302.269
93400 310.964
93600 301.215
93800 282.013
94000 308.044
94200 287.264
94400 287.37
94600 306.827
94800 297.157
95000 321.271
95200 304.639
95400 306.802
95600 286.656
95800 292.98
96000 302.68
96200 304.722
96400 301.521
96600 309.559
96800 304.861
97000 298.921
97200 293.006
97400 285.64
97600 305.606
97800 304.514
98000 293.091
98200 292.088
98400 284.494
98600 308.9
98800 311.995
99000 295.047
99200 289.663
99400 297.618
99600 301.914
99800 289.056
100000 301.544
100200 294.456
100400 313.359
100600 279.654
100800 297.567
101000 308.072
101200 302.838
101400 302.048
101600 274.854
101800 306
102000 294.956
102200 304.446
102400 306.929
102600 285.862
102800 281.657
103000 330.528
103200 293.456
103400 297.665
103600 277.47
103800 299.007
104000 292.342
104200 293.055
104400 287.126
104600 292.801
104800 285.201
105000 315.644
105200 321.1
105400 296.953
105600 304.923
105800 289.225
106000 305.95
106200 278.784
106400 291.643
106600 310.147
106800 305.64
107000 290.362
107200 304.416
107400 300.676
107600 307.364
107800 283.645
108000 283.547
108200 302.727
108400 286.83
108600 304.66
108800 287.624
109000 288.703
109200 300.597
109400 311.7
109600 281.678
109800 292.708
110000 283.246
110200 327.83
110400 309.796
110600 302.006
110800 315.192
111000 299.021
111200 279.731
111400 307.939
111600 319.404
111800 322.268
112000 298.952
112200 317.367
112400 304.208
112600 303.555
112800 307.642
113000 297.919
113200 291.291
113400 304.637
113600 282.2
113800 293.148
114000 310.348
114200 299.816
114400 298.299
114600 291.266
114800 321.854
115000 291.963
115200 310.074
115400 270.577
115600 300.583
115800 279.808
116000 314.129
116200 293.187
116400 301.803
116600 319.064
116800 295.03
117000 327.144
117200 298.078
117400 292.989
117600 330.632
117800 302.036
118000 299.985
118200 286.576
118400 309.698
118600 319.781
118800 301.27
119000 308.906
119200 303.264
119400 284.166
119600 306.907
119800 307.784
120000 307.349
120200 311.235
120400 297.275
120600 287.933
120800 314.116
121000 306.425
121200 299.074
121400 305.117
121600 293.601
121800 305.603
122000 324.488
