# image  E(eV)  dE_from_IS(eV)
0.0000  -2398.157466  +0.0000
0.0526  -2398.085173  +0.0723
0.1053  -2397.940545  +0.2169
0.1579  -2397.728333  +0.4291
0.2105  -2397.829676  +0.3278
0.2632  -2397.830091  +0.3274
0.3158  -2397.817287  +0.3402
0.3684  -2397.778630  +0.3788
0.4211  -2397.730455  +0.4270
0.4737  -2397.714264  +0.4432
0.5263  -2397.729833  +0.4276
0.5789  -2397.813075  +0.3444
0.6316  -2397.965420  +0.1920
0.6842  -2398.132066  +0.0254
0.7368  -2398.295439  -0.1380
0.7895  -2398.446389  -0.2889
0.8421  -2398.570181  -0.4127
0.8947  -2398.647643  -0.4902
0.9474  -2398.799498  -0.6420
1.0000  -2399.095519  -0.9381
