# image  E(eV)  dE_from_IS(eV)
0.0000  -2398.157466  +0.0000
0.0526  -2398.134501  +0.0230
0.1053  -2397.973102  +0.1844
0.1579  -2397.808919  +0.3485
0.2105  -2397.895219  +0.2622
0.2632  -2397.888265  +0.2692
0.3158  -2397.885118  +0.2723
0.3684  -2397.853211  +0.3043
0.4211  -2397.794461  +0.3630
0.4737  -2397.764553  +0.3929
0.5263  -2397.789476  +0.3680
0.5789  -2397.921723  +0.2357
0.6316  -2398.119524  +0.0379
0.6842  -2398.315264  -0.1578
0.7368  -2398.476737  -0.3193
0.7895  -2398.595920  -0.4385
0.8421  -2398.665422  -0.5080
0.8947  -2398.804735  -0.6473
0.9474  -2398.939957  -0.7825
1.0000  -2398.926940  -0.7695
