# image  E(eV)  dE_from_IS(eV)
0.0000  -2398.157466  +0.0000
0.0526  -2397.777572  +0.3799
0.1053  -2396.737141  +1.4203
0.1579  -2396.578132  +1.5793
0.2105  -2396.552299  +1.6052
0.2632  -2396.553605  +1.6039
0.3158  -2396.550676  +1.6068
0.3684  -2396.541581  +1.6159
0.4211  -2396.525202  +1.6323
0.4737  -2396.500589  +1.6569
0.5263  -2396.473863  +1.6836
0.5789  -2396.461167  +1.6963
0.6316  -2396.475059  +1.6824
0.6842  -2396.511060  +1.6464
0.7368  -2396.550709  +1.6068
0.7895  -2396.577770  +1.5797
0.8421  -2396.589004  +1.5685
0.8947  -2396.583421  +1.5740
0.9474  -2396.604012  +1.5535
1.0000  -2399.147109  -0.9896
