# image  E(eV)  dE_from_IS(eV)
0.0000  -2398.157466  +0.0000
0.0526  -2398.011555  +0.1459
0.1053  -2397.769401  +0.3881
0.1579  -2397.820965  +0.3365
0.2105  -2397.784214  +0.3733
0.2632  -2397.732624  +0.4248
0.3158  -2397.714199  +0.4433
0.3684  -2397.731661  +0.4258
0.4211  -2397.824163  +0.3333
0.4737  -2397.983053  +0.1744
0.5263  -2398.147925  +0.0095
0.5789  -2398.302175  -0.1447
0.6316  -2398.435636  -0.2782
0.6842  -2398.537359  -0.3799
0.7368  -2398.608427  -0.4510
0.7895  -2398.659357  -0.5019
0.8421  -2398.818174  -0.6607
0.8947  -2398.929801  -0.7723
0.9474  -2399.072465  -0.9150
1.0000  -2399.269654  -1.1122
