# image  E(eV)  dE_from_IS(eV)
0.0000  -2398.195374  +0.0000
0.0526  -2398.172774  +0.0226
0.1053  -2398.106485  +0.0889
0.1579  -2398.041656  +0.1537
0.2105  -2397.962537  +0.2328
0.2632  -2397.909522  +0.2859
0.3158  -2397.871683  +0.3237
0.3684  -2397.844806  +0.3506
0.4211  -2397.835312  +0.3601
0.4737  -2397.827299  +0.3681
0.5263  -2397.804787  +0.3906
0.5789  -2397.789638  +0.4057
0.6316  -2397.792874  +0.4025
0.6842  -2397.803418  +0.3920
0.7368  -2397.818674  +0.3767
0.7895  -2397.833524  +0.3618
0.8421  -2397.994354  +0.2010
0.8947  -2398.838538  -0.6432
0.9474  -2399.399793  -1.2044
1.0000  -2398.637187  -0.4418
