# image  E(eV)  dE_from_IS(eV)
0.0000  -2398.195374  +0.0000
0.0526  -2398.177673  +0.0177
0.1053  -2398.116438  +0.0789
0.1579  -2398.008822  +0.1866
0.2105  -2397.861048  +0.3343
0.2632  -2397.735075  +0.4603
0.3158  -2397.682944  +0.5124
0.3684  -2397.648143  +0.5472
0.4211  -2397.654927  +0.5404
0.4737  -2397.675155  +0.5202
0.5263  -2397.705643  +0.4897
0.5789  -2397.741568  +0.4538
0.6316  -2397.776354  +0.4190
0.6842  -2397.806066  +0.3893
0.7368  -2397.835217  +0.3602
0.7895  -2397.866894  +0.3285
0.8421  -2397.902039  +0.2933
0.8947  -2397.942255  +0.2531
0.9474  -2398.068384  +0.1270
1.0000  -2398.723564  -0.5282
