# image  E(eV)  dE_from_IS(eV)
0.0000  -2398.195374  +0.0000
0.0526  -2398.177688  +0.0177
0.1053  -2398.116469  +0.0789
0.1579  -2398.008868  +0.1865
0.2105  -2397.861089  +0.3343
0.2632  -2397.735092  +0.4603
0.3158  -2397.682947  +0.5124
0.3684  -2397.648143  +0.5472
0.4211  -2397.654919  +0.5405
0.4737  -2397.675124  +0.5203
0.5263  -2397.705583  +0.4898
0.5789  -2397.741485  +0.4539
0.6316  -2397.776271  +0.4191
0.6842  -2397.805989  +0.3894
0.7368  -2397.835140  +0.3602
0.7895  -2397.866827  +0.3285
0.8421  -2397.901992  +0.2934
0.8947  -2397.942240  +0.2531
0.9474  -2398.068527  +0.1268
1.0000  -2398.723564  -0.5282
