# image  E(eV)  dE_from_IS(eV)
0.0000  -2398.195374  +0.0000
0.0526  -2398.173332  +0.0220
0.1053  -2398.113804  +0.0816
0.1579  -2398.050296  +0.1451
0.2105  -2398.008435  +0.1869
0.2632  -2397.943140  +0.2522
0.3158  -2397.900145  +0.2952
0.3684  -2397.864323  +0.3311
0.4211  -2397.841335  +0.3540
0.4737  -2397.834968  +0.3604
0.5263  -2397.825458  +0.3699
0.5789  -2397.803544  +0.3918
0.6316  -2397.789654  +0.4057
0.6842  -2397.797462  +0.3979
0.7368  -2397.819661  +0.3757
0.7895  -2397.842052  +0.3533
0.8421  -2397.856378  +0.3390
0.8947  -2398.022385  +0.1730
0.9474  -2398.943310  -0.7479
1.0000  -2399.079650  -0.8843
