# image  E(eV)  dE_from_IS(eV)
0.0000  -2398.195374  +0.0000
0.0526  -2398.173460  +0.0219
0.1053  -2398.117876  +0.0775
0.1579  -2398.049162  +0.1462
0.2105  -2398.019652  +0.1757
0.2632  -2397.958373  +0.2370
0.3158  -2397.913420  +0.2820
0.3684  -2397.878039  +0.3173
0.4211  -2397.850770  +0.3446
0.4737  -2397.837140  +0.3582
0.5263  -2397.833121  +0.3623
0.5789  -2397.820333  +0.3750
0.6316  -2397.800334  +0.3950
0.6842  -2397.789189  +0.4062
0.7368  -2397.792141  +0.4032
0.7895  -2397.801843  +0.3935
0.8421  -2397.816388  +0.3790
0.8947  -2397.875596  +0.3198
0.9474  -2398.571127  -0.3758
1.0000  -2399.271357  -1.0760
