# image  E(eV)  dE_from_IS(eV)
0.0000  -2398.195374  +0.0000
0.0526  -2398.165018  +0.0304
0.1053  -2398.053123  +0.1423
0.1579  -2397.906718  +0.2887
0.2105  -2397.866768  +0.3286
0.2632  -2397.845981  +0.3494
0.3158  -2397.834942  +0.3604
0.3684  -2397.830397  +0.3650
0.4211  -2397.823980  +0.3714
0.4737  -2397.820252  +0.3751
0.5263  -2397.820684  +0.3747
0.5789  -2397.819720  +0.3757
0.6316  -2397.822417  +0.3730
0.6842  -2397.834183  +0.3612
0.7368  -2397.852928  +0.3424
0.7895  -2397.874266  +0.3211
0.8421  -2397.929932  +0.2654
0.8947  -2398.090879  +0.1045
0.9474  -2398.414352  -0.2190
1.0000  -2399.207806  -1.0124
