# image  E(eV)  dE_from_IS(eV)
0.0000  -2398.195374  +0.0000
0.0526  -2398.144714  +0.0507
0.1053  -2398.047064  +0.1483
0.1579  -2397.942669  +0.2527
0.2105  -2397.897249  +0.2981
0.2632  -2397.871982  +0.3234
0.3158  -2397.855728  +0.3396
0.3684  -2397.841770  +0.3536
0.4211  -2397.835033  +0.3603
0.4737  -2397.831691  +0.3637
0.5263  -2397.826488  +0.3689
0.5789  -2397.821633  +0.3737
0.6316  -2397.820358  +0.3750
0.6842  -2397.820607  +0.3748
0.7368  -2397.819708  +0.3757
0.7895  -2397.828203  +0.3672
0.8421  -2397.884290  +0.3111
0.8947  -2398.124451  +0.0709
0.9474  -2398.892990  -0.6976
1.0000  -2399.116673  -0.9213
