# image  E(eV)  dE_from_IS(eV)
0.0000  -2397.885022  +0.0000
0.0526  -2397.773794  +0.1112
0.1053  -2397.726468  +0.1586
0.1579  -2397.697973  +0.1870
0.2105  -2397.658455  +0.2266
0.2632  -2397.620016  +0.2650
0.3158  -2397.588064  +0.2970
0.3684  -2397.557564  +0.3275
0.4211  -2397.532075  +0.3529
0.4737  -2397.514465  +0.3706
0.5263  -2397.506299  +0.3787
0.5789  -2397.502871  +0.3822
0.6316  -2397.497631  +0.3874
0.6842  -2397.492700  +0.3923
0.7368  -2397.491436  +0.3936
0.7895  -2397.491709  +0.3933
0.8421  -2397.490795  +0.3942
0.8947  -2397.515323  +0.3697
0.9474  -2397.720652  +0.1644
1.0000  -2398.767228  -0.8822
