# image  E(eV)  dE_from_IS(eV)
0.0000  -2397.885022  +0.0000
0.0526  -2397.859336  +0.0257
0.1053  -2397.776769  +0.1083
0.1579  -2397.645330  +0.2397
0.2105  -2397.496329  +0.3887
0.2632  -2397.356741  +0.5283
0.3158  -2397.265443  +0.6196
0.3684  -2397.218964  +0.6661
0.4211  -2397.194721  +0.6903
0.4737  -2397.207032  +0.6780
0.5263  -2397.242954  +0.6421
0.5789  -2397.293933  +0.5911
0.6316  -2397.376560  +0.5085
0.6842  -2397.514254  +0.3708
0.7368  -2397.635359  +0.2497
0.7895  -2397.826748  +0.0583
0.8421  -2398.065910  -0.1809
0.8947  -2398.251546  -0.3665
0.9474  -2398.403668  -0.5186
1.0000  -2398.477188  -0.5922
