# image  E(eV)  dE_from_IS(eV)
0.0000  -2397.885022  +0.0000
0.0526  -2397.866595  +0.0184
0.1053  -2397.813037  +0.0720
0.1579  -2397.746022  +0.1390
0.2105  -2397.656394  +0.2286
0.2632  -2397.525264  +0.3598
0.3158  -2397.404839  +0.4802
0.3684  -2397.364074  +0.5209
0.4211  -2397.336352  +0.5487
0.4737  -2397.318523  +0.5665
0.5263  -2397.338768  +0.5463
0.5789  -2397.402931  +0.4821
0.6316  -2397.483216  +0.4018
0.6842  -2397.538566  +0.3465
0.7368  -2397.582642  +0.3024
0.7895  -2397.624061  +0.2610
0.8421  -2397.647358  +0.2377
0.8947  -2397.630601  +0.2544
0.9474  -2397.830303  +0.0547
1.0000  -2398.788179  -0.9032
