# image  E(eV)  dE_from_IS(eV)
0.0000  -2397.885022  +0.0000
0.0526  -2397.866593  +0.0184
0.1053  -2397.813044  +0.0720
0.1579  -2397.746045  +0.1390
0.2105  -2397.656421  +0.2286
0.2632  -2397.525287  +0.3597
0.3158  -2397.404830  +0.4802
0.3684  -2397.364064  +0.5210
0.4211  -2397.336343  +0.5487
0.4737  -2397.318517  +0.5665
0.5263  -2397.338768  +0.5463
0.5789  -2397.402954  +0.4821
0.6316  -2397.483254  +0.4018
0.6842  -2397.538604  +0.3464
0.7368  -2397.582684  +0.3023
0.7895  -2397.624098  +0.2609
0.8421  -2397.647366  +0.2377
0.8947  -2397.630614  +0.2544
0.9474  -2397.830309  +0.0547
1.0000  -2398.788179  -0.9032
