# image  E(eV)  dE_from_IS(eV)
0.0000  -2397.885022  +0.0000
0.0526  -2397.846144  +0.0389
0.1053  -2397.755524  +0.1295
0.1579  -2397.644786  +0.2402
0.2105  -2397.477937  +0.4071
0.2632  -2397.380299  +0.5047
0.3158  -2397.344941  +0.5401
0.3684  -2397.320603  +0.5644
0.4211  -2397.334344  +0.5507
0.4737  -2397.377012  +0.5080
0.5263  -2397.439037  +0.4460
0.5789  -2397.494650  +0.3904
0.6316  -2397.538468  +0.3466
0.6842  -2397.579243  +0.3058
0.7368  -2397.621997  +0.2630
0.7895  -2397.647067  +0.2380
0.8421  -2397.655341  +0.2297
0.8947  -2398.018823  -0.1338
0.9474  -2398.440071  -0.5550
1.0000  -2398.678723  -0.7937
