# image  E(eV)  dE_from_IS(eV)
0.0000  -2398.201099  +0.0000
0.0526  -2398.110442  +0.0907
0.1053  -2398.013485  +0.1876
0.1579  -2397.906385  +0.2947
0.2105  -2397.771094  +0.4300
0.2632  -2397.568515  +0.6326
0.3158  -2397.465365  +0.7357
0.3684  -2397.487955  +0.7131
0.4211  -2397.528135  +0.6730
0.4737  -2397.552042  +0.6491
0.5263  -2397.561197  +0.6399
0.5789  -2397.557953  +0.6431
0.6316  -2397.546638  +0.6545
0.6842  -2397.539035  +0.6621
0.7368  -2397.538038  +0.6631
0.7895  -2397.544917  +0.6562
0.8421  -2397.583863  +0.6172
0.8947  -2397.681925  +0.5192
0.9474  -2397.844847  +0.3563
1.0000  -2398.843633  -0.6425
