# image  E(eV)  dE_from_IS(eV)
0.0000  -2398.201099  +0.0000
0.0526  -2398.030826  +0.1703
0.1053  -2397.792832  +0.4083
0.1579  -2397.470870  +0.7302
0.2105  -2397.492656  +0.7084
0.2632  -2397.533807  +0.6673
0.3158  -2397.557584  +0.6435
0.3684  -2397.560189  +0.6409
0.4211  -2397.539556  +0.6615
0.4737  -2397.515598  +0.6855
0.5263  -2397.513914  +0.6872
0.5789  -2397.532924  +0.6682
0.6316  -2397.575342  +0.6258
0.6842  -2397.780819  +0.4203
0.7368  -2398.049904  +0.1512
0.7895  -2398.317625  -0.1165
0.8421  -2398.836561  -0.6355
0.8947  -2398.789804  -0.5887
0.9474  -2398.924490  -0.7234
1.0000  -2398.866652  -0.6656
