# image  E(eV)  dE_from_IS(eV)
0.0000  -2398.201099  +0.0000
0.0526  -2398.142094  +0.0590
0.1053  -2398.117753  +0.0833
0.1579  -2398.028890  +0.1722
0.2105  -2397.916352  +0.2847
0.2632  -2397.783299  +0.4178
0.3158  -2397.869943  +0.3312
0.3684  -2397.850856  +0.3502
0.4211  -2397.825413  +0.3757
0.4737  -2397.794132  +0.4070
0.5263  -2397.762824  +0.4383
0.5789  -2397.747471  +0.4536
0.6316  -2397.766956  +0.4341
0.6842  -2397.811301  +0.3898
0.7368  -2397.858380  +0.3427
0.7895  -2398.034905  +0.1662
0.8421  -2398.397868  -0.1968
0.8947  -2398.697210  -0.4961
0.9474  -2398.724993  -0.5239
1.0000  -2398.926942  -0.7258
