# image  E(eV)  dE_from_IS(eV)
0.0000  -2398.201099  +0.0000
0.0526  -2398.061941  +0.1392
0.1053  -2397.890916  +0.3102
0.1579  -2397.665083  +0.5360
0.2105  -2397.470398  +0.7307
0.2632  -2397.477797  +0.7233
0.3158  -2397.497136  +0.7040
0.3684  -2397.520730  +0.6804
0.4211  -2397.540348  +0.6608
0.4737  -2397.551404  +0.6497
0.5263  -2397.555763  +0.6453
0.5789  -2397.545173  +0.6559
0.6316  -2397.544736  +0.6564
0.6842  -2397.563380  +0.6377
0.7368  -2397.605529  +0.5956
0.7895  -2397.722200  +0.4789
0.8421  -2397.803654  +0.3974
0.8947  -2397.995584  +0.2055
0.9474  -2398.721717  -0.5206
1.0000  -2398.805198  -0.6041
