# image  E(eV)  dE_from_IS(eV)
0.0000  -2398.201099  +0.0000
0.0526  -2397.904660  +0.2964
0.1053  -2397.677255  +0.5238
0.1579  -2397.430457  +0.7706
0.2105  -2397.454331  +0.7468
0.2632  -2397.510457  +0.6906
0.3158  -2397.569231  +0.6319
0.3684  -2397.636438  +0.5647
0.4211  -2397.719360  +0.4817
0.4737  -2397.790667  +0.4104
0.5263  -2397.863747  +0.3374
0.5789  -2397.950015  +0.2511
0.6316  -2398.084048  +0.1171
0.6842  -2398.306858  -0.1058
0.7368  -2398.531708  -0.3306
0.7895  -2398.667700  -0.4666
0.8421  -2398.722023  -0.5209
0.8947  -2398.890543  -0.6894
0.9474  -2398.783768  -0.5827
1.0000  -2399.147102  -0.9460
