# image  E(eV)  dE_from_IS(eV)
0.0000  -2398.201099  +0.0000
0.0526  -2398.105086  +0.0960
0.1053  -2397.993241  +0.2079
0.1579  -2397.885043  +0.3161
0.2105  -2397.741679  +0.4594
0.2632  -2397.556498  +0.6446
0.3158  -2397.470875  +0.7302
0.3684  -2397.479351  +0.7217
0.4211  -2397.501048  +0.7001
0.4737  -2397.526249  +0.6749
0.5263  -2397.545202  +0.6559
0.5789  -2397.554773  +0.6463
0.6316  -2397.557916  +0.6432
0.6842  -2397.544498  +0.6566
0.7368  -2397.556144  +0.6450
0.7895  -2397.587387  +0.6137
0.8421  -2397.718347  +0.4828
0.8947  -2397.822664  +0.3784
0.9474  -2398.905393  -0.7043
1.0000  -2399.269649  -1.0685
