# image  E(eV)  dE_from_IS(eV)
0.0000  -2398.157466  +0.0000
0.0526  -2398.087415  +0.0701
0.1053  -2397.950202  +0.2073
0.1579  -2397.772797  +0.3847
0.2105  -2397.810822  +0.3466
0.2632  -2397.829666  +0.3278
0.3158  -2397.830213  +0.3273
0.3684  -2397.821769  +0.3357
0.4211  -2397.785057  +0.3724
0.4737  -2397.732869  +0.4246
0.5263  -2397.714282  +0.4432
0.5789  -2397.736355  +0.4211
0.6316  -2397.851256  +0.3062
0.6842  -2398.034604  +0.1229
0.7368  -2398.223713  -0.0662
0.7895  -2398.404273  -0.2468
0.8421  -2398.554026  -0.3966
0.8947  -2398.644293  -0.4868
0.9474  -2398.794438  -0.6370
1.0000  -2399.095519  -0.9381
