# image  E(eV)  dE_from_IS(eV)
0.0000  -2398.157466  +0.0000
0.0526  -2398.020901  +0.1366
0.1053  -2397.768276  +0.3892
0.1579  -2397.827656  +0.3298
0.2105  -2397.797637  +0.3598
0.2632  -2397.738950  +0.4185
0.3158  -2397.714108  +0.4434
0.3684  -2397.727207  +0.4303
0.4211  -2397.796823  +0.3606
0.4737  -2397.930795  +0.2267
0.5263  -2398.081863  +0.0756
0.5789  -2398.226814  -0.0693
0.6316  -2398.361008  -0.2035
0.6842  -2398.474037  -0.3166
0.7368  -2398.559388  -0.4019
0.7895  -2398.617089  -0.4596
0.8421  -2398.659530  -0.5021
0.8947  -2398.815919  -0.6585
0.9474  -2398.948509  -0.7910
1.0000  -2398.832704  -0.6752
