# image  E(eV)  dE_from_IS(eV)
0.0000  -2398.157466  +0.0000
0.0526  -2397.885620  +0.2718
0.1053  -2397.824463  +0.3330
0.1579  -2397.830367  +0.3271
0.2105  -2397.827416  +0.3301
0.2632  -2397.796433  +0.3610
0.3158  -2397.738129  +0.4193
0.3684  -2397.714157  +0.4433
0.4211  -2397.734612  +0.4229
0.4737  -2397.842068  +0.3154
0.5263  -2398.013779  +0.1437
0.5789  -2398.184254  -0.0268
0.6316  -2398.341240  -0.1838
0.6842  -2398.475159  -0.3177
0.7368  -2398.580396  -0.4229
0.7895  -2398.648301  -0.4908
0.8421  -2398.794057  -0.6366
0.8947  -2398.943986  -0.7865
0.9474  -2398.687808  -0.5303
1.0000  -2399.007182  -0.8497
