# image  E(eV)  dE_from_IS(eV)
0.0000  -2398.157466  +0.0000
0.0526  -2397.863178  +0.2943
0.1053  -2397.829005  +0.3285
0.1579  -2397.811718  +0.3457
0.2105  -2397.752118  +0.4053
0.2632  -2397.702058  +0.4554
0.3158  -2397.720963  +0.4365
0.3684  -2397.782701  +0.3748
0.4211  -2397.875471  +0.2820
0.4737  -2397.988339  +0.1691
0.5263  -2398.121084  +0.0364
0.5789  -2398.262921  -0.1055
0.6316  -2398.395135  -0.2377
0.6842  -2398.551764  -0.3943
0.7368  -2398.704293  -0.5468
0.7895  -2398.766956  -0.6095
0.8421  -2398.757938  -0.6005
0.8947  -2398.780493  -0.6230
0.9474  -2398.898796  -0.7413
1.0000  -2399.116673  -0.9592
