# image  E(eV)  dE_from_IS(eV)
0.0000  -2397.862877  +0.0000
0.0526  -2397.821722  +0.0412
0.1053  -2397.748211  +0.1147
0.1579  -2397.576436  +0.2864
0.2105  -2397.541700  +0.3212
0.2632  -2397.515025  +0.3479
0.3158  -2397.491351  +0.3715
0.3684  -2397.465445  +0.3974
0.4211  -2397.435116  +0.4278
0.4737  -2397.398470  +0.4644
0.5263  -2397.362997  +0.4999
0.5789  -2397.346988  +0.5159
0.6316  -2397.351986  +0.5109
0.6842  -2397.366081  +0.4968
0.7368  -2397.387736  +0.4751
0.7895  -2397.421668  +0.4412
0.8421  -2397.478028  +0.3848
0.8947  -2397.551434  +0.3114
0.9474  -2397.948073  -0.0852
1.0000  -2398.767223  -0.9043
