# image  E(eV)  dE_from_IS(eV)
0.0000  -2397.862877  +0.0000
0.0526  -2397.854305  +0.0086
0.1053  -2397.836340  +0.0265
0.1579  -2397.790070  +0.0728
0.2105  -2397.705917  +0.1570
0.2632  -2397.627278  +0.2356
0.3158  -2397.591073  +0.2718
0.3684  -2397.563437  +0.2994
0.4211  -2397.529940  +0.3329
0.4737  -2397.491971  +0.3709
0.5263  -2397.470158  +0.3927
0.5789  -2397.439189  +0.4237
0.6316  -2397.404027  +0.4588
0.6842  -2397.388249  +0.4746
0.7368  -2397.373864  +0.4890
0.7895  -2397.361434  +0.5014
0.8421  -2397.420563  +0.4423
0.8947  -2397.734751  +0.1281
0.9474  -2398.055441  -0.1926
1.0000  -2398.276957  -0.4141
