# image  E(eV)  dE_from_IS(eV)
0.0000  -2397.862877  +0.0000
0.0526  -2397.749237  +0.1136
0.1053  -2397.596421  +0.2665
0.1579  -2397.545264  +0.3176
0.2105  -2397.486969  +0.3759
0.2632  -2397.442678  +0.4202
0.3158  -2397.398019  +0.4649
0.3684  -2397.380955  +0.4819
0.4211  -2397.361571  +0.5013
0.4737  -2397.380391  +0.4825
0.5263  -2397.531994  +0.3309
0.5789  -2397.829327  +0.0335
0.6316  -2398.059698  -0.1968
0.6842  -2398.202573  -0.3397
0.7368  -2398.301080  -0.4382
0.7895  -2398.392923  -0.5300
0.8421  -2398.424389  -0.5615
0.8947  -2398.588584  -0.7257
0.9474  -2398.381849  -0.5190
1.0000  -2398.538359  -0.6755
