# image  E(eV)  dE_from_IS(eV)
0.0000  -2397.862877  +0.0000
0.0526  -2397.716465  +0.1464
0.1053  -2397.597275  +0.2656
0.1579  -2397.548689  +0.3142
0.2105  -2397.489484  +0.3734
0.2632  -2397.446012  +0.4169
0.3158  -2397.398655  +0.4642
0.3684  -2397.379907  +0.4830
0.4211  -2397.361348  +0.5015
0.4737  -2397.381256  +0.4816
0.5263  -2397.475778  +0.3871
0.5789  -2397.682734  +0.1801
0.6316  -2397.900767  -0.0379
0.6842  -2398.053312  -0.1904
0.7368  -2398.155435  -0.2926
0.7895  -2398.228722  -0.3658
0.8421  -2398.281370  -0.4185
0.8947  -2398.320548  -0.4577
0.9474  -2398.353269  -0.4904
1.0000  -2398.477182  -0.6143
