# image  E(eV)  dE_from_IS(eV)
0.0000  -2397.862877  +0.0000
0.0526  -2397.836110  +0.0268
0.1053  -2397.728780  +0.1341
0.1579  -2397.615274  +0.2476
0.2105  -2397.571606  +0.2913
0.2632  -2397.530526  +0.3324
0.3158  -2397.501408  +0.3615
0.3684  -2397.482115  +0.3808
0.4211  -2397.469963  +0.3929
0.4737  -2397.457614  +0.4053
0.5263  -2397.440864  +0.4220
0.5789  -2397.435188  +0.4277
0.6316  -2397.448566  +0.4143
0.6842  -2397.471558  +0.3913
0.7368  -2397.509491  +0.3534
0.7895  -2397.598512  +0.2644
0.8421  -2397.695356  +0.1675
0.8947  -2397.720051  +0.1428
0.9474  -2398.380105  -0.5172
1.0000  -2398.788179  -0.9253
