# image  E(eV)  dE_from_IS(eV)
0.0000  -2397.862877  +0.0000
0.0526  -2397.688534  +0.1743
0.1053  -2397.574557  +0.2883
0.1579  -2397.515422  +0.3475
0.2105  -2397.473545  +0.3893
0.2632  -2397.434919  +0.4280
0.3158  -2397.397308  +0.4656
0.3684  -2397.382132  +0.4807
0.4211  -2397.363050  +0.4998
0.4737  -2397.369077  +0.4938
0.5263  -2397.463260  +0.3996
0.5789  -2397.728203  +0.1347
0.6316  -2397.981741  -0.1189
0.6842  -2398.142514  -0.2796
0.7368  -2398.249723  -0.3868
0.7895  -2398.329355  -0.4665
0.8421  -2398.409967  -0.5471
0.8947  -2398.424743  -0.5619
0.9474  -2398.409314  -0.5464
1.0000  -2398.678721  -0.8158
