# image  E(eV)  dE_from_IS(eV)
0.0000  -2398.104863  +0.0000
0.0526  -2397.912303  +0.1926
0.1053  -2397.826898  +0.2780
0.1579  -2397.832114  +0.2727
0.2105  -2397.838843  +0.2660
0.2632  -2397.840446  +0.2644
0.3158  -2397.840917  +0.2639
0.3684  -2397.841590  +0.2633
0.4211  -2397.842536  +0.2623
0.4737  -2397.842897  +0.2620
0.5263  -2397.849102  +0.2558
0.5789  -2397.941837  +0.1630
0.6316  -2398.089123  +0.0157
0.6842  -2398.212302  -0.1074
0.7368  -2398.317883  -0.2130
0.7895  -2398.379804  -0.2749
0.8421  -2398.392817  -0.2880
0.8947  -2398.420888  -0.3160
0.9474  -2399.310672  -1.2058
1.0000  -2398.637188  -0.5323
