# image  E(eV)  dE_from_IS(eV)
0.0000  -2398.104863  +0.0000
0.0526  -2398.067142  +0.0377
0.1053  -2397.996139  +0.1087
0.1579  -2397.949656  +0.1552
0.2105  -2397.917336  +0.1875
0.2632  -2397.901073  +0.2038
0.3158  -2397.895889  +0.2090
0.3684  -2397.895683  +0.2092
0.4211  -2397.899002  +0.2059
0.4737  -2397.912671  +0.1922
0.5263  -2397.937572  +0.1673
0.5789  -2397.964323  +0.1405
0.6316  -2398.172567  -0.0677
0.6842  -2398.711620  -0.6068
0.7368  -2399.116680  -1.0118
0.7895  -2399.240126  -1.1353
0.8421  -2399.398361  -1.2935
0.8947  -2399.338247  -1.2334
0.9474  -2399.031505  -0.9266
1.0000  -2398.866649  -0.7618
