# image  E(eV)  dE_from_IS(eV)
0.0000  -2398.104863  +0.0000
0.0526  -2397.990762  +0.1141
0.1053  -2397.959734  +0.1451
0.1579  -2397.929207  +0.1757
0.2105  -2397.899011  +0.2059
0.2632  -2397.870566  +0.2343
0.3158  -2397.853928  +0.2509
0.3684  -2397.830917  +0.2739
0.4211  -2397.810652  +0.2942
0.4737  -2397.838739  +0.2661
0.5263  -2397.886276  +0.2186
0.5789  -2397.919196  +0.1857
0.6316  -2397.978687  +0.1262
0.6842  -2398.099196  +0.0057
0.7368  -2398.289183  -0.1843
0.7895  -2398.611212  -0.5063
0.8421  -2399.107115  -1.0023
0.8947  -2399.349100  -1.2442
0.9474  -2399.272260  -1.1674
1.0000  -2398.926929  -0.8221
