# image  E(eV)  dE_from_IS(eV)
0.0000  -2398.104863  +0.0000
0.0526  -2397.984458  +0.1204
0.1053  -2397.965346  +0.1395
0.1579  -2397.943376  +0.1615
0.2105  -2397.916276  +0.1886
0.2632  -2397.884470  +0.2204
0.3158  -2397.859877  +0.2450
0.3684  -2397.836741  +0.2681
0.4211  -2397.810640  +0.2942
0.4737  -2397.838780  +0.2661
0.5263  -2397.886337  +0.2185
0.5789  -2397.919267  +0.1856
0.6316  -2397.978925  +0.1259
0.6842  -2398.099664  +0.0052
0.7368  -2398.289790  -0.1849
0.7895  -2398.612209  -0.5073
0.8421  -2399.107639  -1.0028
0.8947  -2399.349208  -1.2443
0.9474  -2399.272290  -1.1674
1.0000  -2398.926929  -0.8221
