# image  E(eV)  dE_from_IS(eV)
0.0000  -2398.104863  +0.0000
0.0526  -2398.090272  +0.0146
0.1053  -2398.057076  +0.0478
0.1579  -2397.982346  +0.1225
0.2105  -2397.845236  +0.2596
0.2632  -2397.787487  +0.3174
0.3158  -2397.785776  +0.3191
0.3684  -2397.790919  +0.3139
0.4211  -2397.840523  +0.2643
0.4737  -2397.950689  +0.1542
0.5263  -2398.028182  +0.0767
0.5789  -2398.077127  +0.0277
0.6316  -2398.130499  -0.0256
0.6842  -2398.212165  -0.1073
0.7368  -2398.311682  -0.2068
0.7895  -2398.426888  -0.3220
0.8421  -2398.696864  -0.5920
0.8947  -2398.992182  -0.8873
0.9474  -2399.378260  -1.2734
1.0000  -2399.271370  -1.1665
