# image  E(eV)  dE_from_IS(eV)
0.0000  -2398.104863  +0.0000
0.0526  -2398.090041  +0.0148
0.1053  -2398.056653  +0.0482
0.1579  -2397.980822  +0.1240
0.2105  -2397.841235  +0.2636
0.2632  -2397.786259  +0.3186
0.3158  -2397.785127  +0.3197
0.3684  -2397.791481  +0.3134
0.4211  -2397.848122  +0.2567
0.4737  -2397.959606  +0.1453
0.5263  -2398.032748  +0.0721
0.5789  -2398.082288  +0.0226
0.6316  -2398.137393  -0.0325
0.6842  -2398.220941  -0.1161
0.7368  -2398.316401  -0.2115
0.7895  -2398.430217  -0.3254
0.8421  -2398.697101  -0.5922
0.8947  -2398.987870  -0.8830
0.9474  -2399.378317  -1.2735
1.0000  -2399.269660  -1.1648
