# image  E(eV)  dE_from_IS(eV)
0.0000  -2398.104863  +0.0000
0.0526  -2398.060793  +0.0441
0.1053  -2397.985034  +0.1198
0.1579  -2397.944548  +0.1603
0.2105  -2397.918210  +0.1867
0.2632  -2397.903058  +0.2018
0.3158  -2397.896630  +0.2082
0.3684  -2397.895681  +0.2092
0.4211  -2397.896622  +0.2082
0.4737  -2397.901433  +0.2034
0.5263  -2397.914942  +0.1899
0.5789  -2397.937034  +0.1678
0.6316  -2397.958042  +0.1468
0.6842  -2397.970298  +0.1346
0.7368  -2398.156586  -0.0517
0.7895  -2398.727597  -0.6227
0.8421  -2399.188104  -1.0832
0.8947  -2399.354945  -1.2501
0.9474  -2399.435684  -1.3308
1.0000  -2398.926072  -0.8212
