# image  E(eV)  dE_from_IS(eV)
0.0000  -2398.104863  +0.0000
0.0526  -2398.057679  +0.0472
0.1053  -2398.018382  +0.0865
0.1579  -2397.954617  +0.1502
0.2105  -2397.845196  +0.2597
0.2632  -2397.760098  +0.3448
0.3158  -2397.769198  +0.3357
0.3684  -2397.764318  +0.3405
0.4211  -2397.759957  +0.3449
0.4737  -2397.757844  +0.3470
0.5263  -2397.758066  +0.3468
0.5789  -2397.759535  +0.3453
0.6316  -2397.760659  +0.3442
0.6842  -2397.822259  +0.2826
0.7368  -2397.915145  +0.1897
0.7895  -2397.959664  +0.1452
0.8421  -2398.284753  -0.1799
0.8947  -2398.811809  -0.7069
0.9474  -2399.362030  -1.2572
1.0000  -2399.116675  -1.0118
