# image  E(eV)  dE_from_IS(eV)
0.0000  -2398.104863  +0.0000
0.0526  -2398.055944  +0.0489
0.1053  -2398.017566  +0.0873
0.1579  -2397.956453  +0.1484
0.2105  -2397.851715  +0.2531
0.2632  -2397.760237  +0.3446
0.3158  -2397.769228  +0.3356
0.3684  -2397.764507  +0.3404
0.4211  -2397.760063  +0.3448
0.4737  -2397.757844  +0.3470
0.5263  -2397.758037  +0.3468
0.5789  -2397.759503  +0.3454
0.6316  -2397.760623  +0.3442
0.6842  -2397.822523  +0.2823
0.7368  -2397.914849  +0.1900
0.7895  -2397.959231  +0.1456
0.8421  -2398.281206  -0.1763
0.8947  -2398.806843  -0.7020
0.9474  -2399.358172  -1.2533
1.0000  -2399.116675  -1.0118
