# image  E(eV)  dE_from_IS(eV)
0.0000  -2398.104863  +0.0000
0.0526  -2398.010609  +0.0943
0.1053  -2397.952066  +0.1528
0.1579  -2397.909163  +0.1957
0.2105  -2397.897595  +0.2073
0.2632  -2397.895951  +0.2089
0.3158  -2397.896690  +0.2082
0.3684  -2397.899977  +0.2049
0.4211  -2397.909004  +0.1959
0.4737  -2397.926423  +0.1784
0.5263  -2397.947448  +0.1574
0.5789  -2397.965200  +0.1397
0.6316  -2397.980155  +0.1247
0.6842  -2397.993632  +0.1112
0.7368  -2398.005007  +0.0999
0.7895  -2398.015508  +0.0894
0.8421  -2398.188425  -0.0836
0.8947  -2398.752176  -0.6473
0.9474  -2399.483644  -1.3788
1.0000  -2399.007181  -0.9023
