# image  E(eV)  dE_from_IS(eV)
0.0000  -2397.877656  +0.0000
0.0526  -2397.853511  +0.0241
0.1053  -2397.781016  +0.0966
0.1579  -2397.638088  +0.2396
0.2105  -2397.453302  +0.4244
0.2632  -2397.360747  +0.5169
0.3158  -2397.318841  +0.5588
0.3684  -2397.324644  +0.5530
0.4211  -2397.341326  +0.5363
0.4737  -2397.364874  +0.5128
0.5263  -2397.390629  +0.4870
0.5789  -2397.414740  +0.4629
0.6316  -2397.434575  +0.4431
0.6842  -2397.449259  +0.4284
0.7368  -2397.459518  +0.4181
0.7895  -2397.466535  +0.4111
0.8421  -2397.471373  +0.4063
0.8947  -2397.459468  +0.4182
0.9474  -2398.121501  -0.2438
1.0000  -2398.395094  -0.5174
