# image  E(eV)  dE_from_IS(eV)
0.0000  -2397.877656  +0.0000
0.0526  -2397.853499  +0.0242
0.1053  -2397.780964  +0.0967
0.1579  -2397.637994  +0.2397
0.2105  -2397.453246  +0.4244
0.2632  -2397.360739  +0.5169
0.3158  -2397.318841  +0.5588
0.3684  -2397.324643  +0.5530
0.4211  -2397.341324  +0.5363
0.4737  -2397.364872  +0.5128
0.5263  -2397.390633  +0.4870
0.5789  -2397.414759  +0.4629
0.6316  -2397.434612  +0.4430
0.6842  -2397.449307  +0.4283
0.7368  -2397.459563  +0.4181
0.7895  -2397.466559  +0.4111
0.8421  -2397.471363  +0.4063
0.8947  -2397.459488  +0.4182
0.9474  -2398.121566  -0.2439
1.0000  -2398.395094  -0.5174
