# image  E(eV)  dE_from_IS(eV)
0.0000  -2397.877656  +0.0000
0.0526  -2397.842957  +0.0347
0.1053  -2397.818951  +0.0587
0.1579  -2397.741992  +0.1357
0.2105  -2397.650162  +0.2275
0.2632  -2397.517852  +0.3598
0.3158  -2397.408161  +0.4695
0.3684  -2397.367748  +0.5099
0.4211  -2397.339265  +0.5384
0.4737  -2397.320682  +0.5570
0.5263  -2397.339082  +0.5386
0.5789  -2397.395232  +0.4824
0.6316  -2397.467884  +0.4098
0.6842  -2397.524646  +0.3530
0.7368  -2397.573008  +0.3046
0.7895  -2397.624434  +0.2532
0.8421  -2397.652295  +0.2254
0.8947  -2398.209609  -0.3320
0.9474  -2398.626112  -0.7485
1.0000  -2398.477192  -0.5995
