# image  E(eV)  dE_from_IS(eV)
0.0000  -2397.877656  +0.0000
0.0526  -2397.588271  +0.2894
0.1053  -2397.617339  +0.2603
0.1579  -2397.603909  +0.2737
0.2105  -2397.586798  +0.2909
0.2632  -2397.567897  +0.3098
0.3158  -2397.547865  +0.3298
0.3684  -2397.527067  +0.3506
0.4211  -2397.506010  +0.3716
0.4737  -2397.485609  +0.3920
0.5263  -2397.466892  +0.4108
0.5789  -2397.450641  +0.4270
0.6316  -2397.438108  +0.4395
0.6842  -2397.430818  +0.4468
0.7368  -2397.428758  +0.4489
0.7895  -2397.429790  +0.4479
0.8421  -2397.432061  +0.4456
0.8947  -2397.434063  +0.4436
0.9474  -2398.342537  -0.4649
1.0000  -2398.749690  -0.8720
