# image  E(eV)  dE_from_IS(eV)
0.0000  -2398.201099  +0.0000
0.0526  -2398.936111  -0.7350
0.1053  -2398.911835  -0.7107
0.1579  -2398.907183  -0.7061
0.2105  -2398.893866  -0.6928
0.2632  -2398.878073  -0.6770
0.3158  -2398.847408  -0.6463
0.3684  -2398.790778  -0.5897
0.4211  -2398.746941  -0.5458
0.4737  -2398.752758  -0.5517
0.5263  -2398.762970  -0.5619
0.5789  -2398.769017  -0.5679
0.6316  -2398.768355  -0.5673
0.6842  -2398.763093  -0.5620
0.7368  -2398.759135  -0.5580
0.7895  -2398.756736  -0.5556
0.8421  -2398.749250  -0.5482
0.8947  -2398.793266  -0.5922
0.9474  -2399.082940  -0.8818
1.0000  -2400.432940  -2.2318
