# Time-averaged data for fix msd_out
# TimeStep c_msd_H[4]
500000 0
501000 0.0446421
502000 0.0415331
503000 0.16639
504000 0.17532
505000 0.0829557
506000 0.0903969
507000 0.0707976
508000 0.0808039
509000 0.0872801
510000 0.0524587
511000 0.103525
512000 0.0139436
513000 0.0397376
514000 0.0502609
515000 0.00612799
516000 0.296716
517000 0.109171
518000 0.15292
519000 0.267706
520000 0.127968
521000 0.0425805
522000 0.233751
523000 0.0420679
524000 0.00988232
525000 0.178395
526000 0.0348832
527000 0.0869893
528000 0.140953
529000 0.133886
530000 0.514834
531000 0.238668
532000 0.0956016
533000 0.0562874
534000 0.154848
535000 0.0949677
536000 0.140334
537000 0.0304418
538000 0.27488
539000 0.0792516
540000 0.0196871
541000 0.0223263
542000 0.0803643
543000 0.0214475
544000 0.0692833
545000 0.0095237
546000 0.0456807
547000 0.0452777
548000 0.0853358
549000 0.166271
550000 0.0341875
551000 0.0391292
552000 0.0601455
553000 0.140898
554000 0.0913236
555000 0.105463
556000 0.0967975
557000 0.0269136
558000 0.0665139
559000 0.0662602
560000 0.0245754
561000 0.0284042
562000 0.150936
563000 0.0264992
564000 0.170293
565000 0.125298
566000 0.0519192
567000 0.140712
568000 0.0718818
569000 0.229706
570000 0.0943373
571000 0.0170003
572000 0.0787242
573000 0.0137184
574000 0.0946713
575000 0.113331
576000 0.0369681
577000 0.0143299
578000 0.116423
579000 0.0210197
580000 0.0864493
581000 0.0138432
582000 0.0608151
583000 0.230901
584000 0.0115356
585000 0.086276
586000 0.0912918
587000 0.211646
588000 0.201857
589000 0.0948871
590000 0.0222125
591000 0.0524736
592000 0.119419
593000 0.103579
594000 0.145541
595000 0.117469
596000 0.29633
597000 0.0365544
598000 0.0178365
599000 0.0038842
600000 0.318283
601000 0.100734
602000 0.156969
603000 0.209865
604000 0.206832
605000 0.016215
606000 0.0129555
607000 0.0452456
608000 0.22736
609000 0.145326
610000 0.1567
611000 0.234364
612000 0.0164138
613000 0.0584428
614000 0.174862
615000 0.202039
616000 0.0684342
617000 0.0199784
618000 0.127128
619000 0.185474
620000 0.0977267
621000 0.169218
622000 0.150843
623000 0.246157
624000 0.261768
625000 0.187258
626000 0.0528293
627000 0.0313742
628000 0.0969077
629000 0.037004
630000 0.0941043
631000 0.101614
632000 0.11091
633000 0.0140088
634000 0.0731398
635000 0.0431952
636000 0.132845
637000 0.0915555
638000 0.0949431
639000 0.0862936
640000 0.267084
641000 0.0949559
642000 0.0641192
643000 0.0072228
644000 0.390774
645000 0.0814385
646000 0.0382905
647000 0.0621619
648000 0.00222328
649000 0.0495163
650000 0.0412243
651000 0.100542
652000 0.180667
653000 0.101447
654000 0.0693902
655000 0.124092
656000 0.0516905
657000 0.0297733
658000 0.0268043
659000 0.0775618
660000 0.0849231
661000 0.224361
662000 0.0754732
663000 0.0375556
664000 0.119111
665000 0.158057
666000 0.0764397
667000 0.29183
668000 0.0306148
669000 0.0625783
670000 0.195762
671000 0.267462
672000 0.0395241
673000 0.00785953
674000 0.0624521
675000 0.179754
676000 0.0367464
677000 0.0145732
678000 0.017399
679000 0.231728
680000 0.0452371
681000 0.0894212
682000 0.078921
683000 0.0162214
684000 0.164331
685000 0.100922
686000 0.0891656
687000 0.133508
688000 0.0217743
689000 0.124909
690000 0.132591
691000 0.111726
692000 0.0529988
693000 0.0267906
694000 0.294541
695000 0.0636804
696000 0.0482807
697000 0.133682
698000 0.0919582
699000 0.0559672
700000 0.0140104
701000 0.0414218
702000 0.303385
703000 0.0888773
704000 0.296668
705000 0.114906
706000 0.261085
707000 0.169757
708000 0.0116934
709000 0.0804775
710000 0.0722442
711000 0.0299048
712000 0.0584859
713000 0.161959
714000 0.0283688
715000 0.113148
716000 0.216846
717000 0.144867
718000 0.190696
719000 0.0758771
720000 0.144274
721000 0.159005
722000 0.0591682
723000 0.0759033
724000 0.0654203
725000 0.0993503
726000 0.219133
727000 0.0678396
728000 0.043805
729000 0.118841
730000 0.0703766
731000 0.0892427
732000 0.0592392
733000 0.0311086
734000 0.0106067
735000 0.311439
736000 0.0223551
737000 0.164462
738000 0.305446
739000 0.038488
740000 0.116077
741000 0.123977
742000 0.153709
743000 0.165249
744000 0.227916
745000 0.0973483
746000 0.430409
747000 0.085209
748000 0.0271342
749000 0.074701
750000 0.102769
751000 0.020018
752000 0.0502533
753000 0.041013
754000 0.1053
755000 0.0589271
756000 0.0642984
757000 0.0302926
758000 0.0424115
759000 0.0978781
760000 0.0285668
761000 0.0798421
762000 0.183956
763000 0.0336815
764000 0.0243973
765000 0.362496
766000 0.120616
767000 0.00594601
768000 0.0241094
769000 0.0157995
770000 0.0860998
771000 0.078724
772000 0.234164
773000 0.0190868
774000 0.0364385
775000 0.0100906
776000 0.0315469
777000 0.215166
778000 0.271946
779000 0.143743
780000 0.110314
781000 0.0210834
782000 0.0909981
783000 0.0813171
784000 0.020123
785000 0.353035
786000 0.191176
787000 0.0298361
788000 0.199176
789000 0.243785
790000 0.00460646
791000 0.150468
792000 0.0502542
793000 0.155459
794000 0.0936216
795000 0.094533
796000 0.0510361
797000 0.0382149
798000 0.0183459
799000 0.0524278
800000 0.0772118
801000 0.0524163
802000 0.242479
803000 0.0723613
804000 0.119309
805000 0.0567811
806000 0.0273284
807000 0.0292738
808000 0.0395961
809000 0.157782
810000 0.0302155
811000 0.0519246
812000 0.151789
813000 0.0976086
814000 0.0144735
815000 0.144022
816000 0.0517832
817000 0.0861931
818000 0.0438582
819000 0.187934
820000 0.0313511
821000 0.0505527
