# Time-averaged data for fix msd_out
# TimeStep c_msd_H[4]
500000 0
501000 0.280564
502000 0.0474917
503000 0.0592831
504000 0.221005
505000 0.0270681
506000 0.326568
507000 0.022187
508000 0.128533
509000 0.0310383
510000 0.20668
511000 0.159099
512000 0.0911699
513000 0.0185081
514000 5.57317
515000 5.84165
516000 4.29617
517000 7.38482
518000 5.08492
519000 18.8103
520000 14.2594
521000 20.9689
522000 20.3706
523000 18.6411
524000 20.6111
525000 16.61
526000 14.9371
527000 22.585
528000 18.0818
529000 15.2655
530000 19.4105
531000 16.6141
532000 16.319
533000 17.939
534000 15.6358
535000 18.6097
536000 15.7922
537000 20.153
538000 11.6514
539000 37.7622
540000 17.0152
541000 15.9531
542000 15.3821
543000 16.3693
544000 17.135
545000 15.2151
546000 19.6264
547000 15.8912
548000 20.0991
549000 41.1935
550000 63.8378
551000 118.652
552000 120.64
553000 98.9862
554000 149.34
555000 161.327
556000 154.594
557000 145.381
558000 152.589
559000 152.289
560000 148.472
561000 155.601
562000 168.176
563000 167.621
564000 199.08
565000 187.926
566000 188.505
567000 193.88
568000 192.111
569000 177.706
570000 182.298
571000 193.475
572000 188.619
573000 189.294
574000 191.07
575000 188.119
576000 181.074
577000 187.027
578000 182.145
579000 163.403
580000 152.055
581000 168.216
582000 161.501
583000 165.954
584000 168.09
585000 160.89
586000 159.916
587000 163.841
588000 164.716
589000 167.107
590000 158.749
591000 161.517
592000 164.032
593000 168.687
594000 160.587
595000 164.877
596000 158.956
597000 158.96
598000 164.613
599000 164.147
600000 166.469
601000 169.722
602000 168.816
603000 153.554
604000 161.776
605000 166.474
606000 159.59
607000 165.152
608000 172.666
609000 159.511
610000 158.565
611000 162.532
612000 166.147
613000 161.154
614000 166.361
615000 154.734
616000 172.535
617000 216.343
618000 222.064
619000 207.032
620000 199.81
621000 206.376
622000 226.639
623000 215.003
624000 229.388
625000 237.448
626000 240.714
627000 233.097
628000 244.992
629000 232.428
630000 232.981
631000 236.122
632000 235.328
633000 235.162
634000 233.67
635000 239.092
636000 237.351
637000 229.1
638000 248.887
639000 236.112
640000 236.087
641000 235.026
642000 234.769
643000 235.258
644000 225.471
645000 225.442
646000 232.496
647000 242.863
648000 232.749
649000 230.156
650000 240.249
