LAMMPS (11 Feb 2026 - Development - patch_11Feb2026-99-gb75dfcc930-modified)
/home/akinyemi.az/miniforge3/envs/mace-lammps/lib/python3.11/site-packages/e3nn/o3/_wigner.py:10: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  _Jd, _W3j_flat, _W3j_indices = torch.load(os.path.join(os.path.dirname(__file__), 'constants.pt'))
KOKKOS mode with Kokkos version 5.0.2 is enabled
  using double precision
  using view layout = legacy
  will use up to 1 GPU(s) per node
  using 1 OpenMP thread(s) per MPI task
Reading data file ...
  orthogonal box = (0 0 0) to (25 25 67.55)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  3750 atoms
  read_data CPU = 0.020 seconds
### Minimization ###

CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE

Your simulation uses code contributions which should be cited:
- KOKKOS package: https://doi.org/10.1145/3731599.3767498
The log file lists these citations in BibTeX format.

CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE-CITE

Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 7
  ghost atom cutoff = 7
  binsize = 7, bins = 4 4 10
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair mliap/kk, perpetual
      attributes: full, newton on, kokkos_device
      pair build: full/bin/kk/device
      stencil: full/bin/3d
      bin: kk/device
Setting up cg/kk style minimization ...
  Unit style    : metal
  Current step  : 0
WARNING: Energy due to 1 extra global DOFs will be included in minimizer energies
 (src/KOKKOS/min_kokkos.cpp:94)
WARNING: Fix MINIMIZE/kk not compatible with sending data in Kokkos communication (src/KOKKOS/comm_kokkos.cpp:842)
WARNING: Fix with atom-based arrays not compatible with sending data in Kokkos communication, switching to legacy exchange/border communication (src/KOKKOS/comm_kokkos.cpp:849)
WARNING: Fix MINIMIZE/kk not (yet) compatible with Kokkos sorting on device (src/KOKKOS/atom_kokkos.cpp:219)
WARNING: Fix with atom-based arrays not (yet) compatible with Kokkos sorting on device, switching to legacy host sorting (src/KOKKOS/atom_kokkos.cpp:225)
Per MPI rank memory allocation (min/avg/max) = 2632 | 2632 | 2632 Mbytes
   Step         PotEng          Fmax          Fnorm          Press          Volume           Lx             Ly             Lz      
         0  -13714.22       3.1186596      77.224422      428462.52      42218.75       25             25             67.55        
        10  -14040.888      2.8528797      70.156003      389516.05      43498.02       25.25          25.25          68.2255      
        20  -14341.5        2.5877661      63.711199      348565.62      44802.875      25.5           25.5           68.901       
        30  -14613.557      2.3322694      57.826915      306641.62      46133.568      25.75          25.75          69.5765      
        40  -14855.442      2.0921844      52.433727      264838.47      47490.352      26             26             70.252       
        50  -15066.32       1.8697419      47.497012      224103.57      48873.48       26.25          26.25          70.9275      
        60  -15246.212      1.6643949      43.094058      185282.96      50283.207      26.5           26.5           71.603       
        70  -15395.748      1.4737248      39.30028       148763.83      51719.784      26.75          26.75          72.2785      
        80  -15515.788      1.3271892      36.101974      114518.93      53183.466      27             27             72.954       
        90  -15607.394      1.1918551      33.379469      82930.258      54674.506      27.25          27.25          73.6295      
       100  -15672.064      1.0531306      30.900981      53988.791      56193.156      27.5           27.5           74.305       
       110  -15710.986      0.91159391     28.522749      27050.813      57739.671      27.75          27.75          74.9805      
       120  -15724.984      0.83764701     26.237022      1713.5867      59314.304      28             28             75.656       
       130  -15882.004      2.5805144      35.952646      3296.1346      59001.083      27.950627      27.950627      75.522593    
       140  -15994.704      1.9960085      33.229697      476.84969      58993.375      27.949409      27.949409      75.519304    
       150  -16129.505      2.2133109      33.781809      232.02026      58916.022      27.937188      27.937188      75.486282    
       160  -16277.518      2.4759505      42.18722       746.3608       58713.864      27.905198      27.905198      75.399844    
       170  -16359.031      1.6831151      37.522689     -441.71709      58709.399      27.904491      27.904491      75.397933    
       180  -16449.62       1.3800913      36.236789      2626.9741      58451.627      27.863591      27.863591      75.287423    
       190  -16571.66       1.7204904      39.597106      230.83408      58393.997      27.854431      27.854431      75.262672    
       200  -16706.076      2.3840334      42.935213      3308.0985      58011.345      27.793455      27.793455      75.097914    
       210  -16861.079      3.5347642      50.347436     -900.39701      58037.362      27.797609      27.797609      75.109139    
       220  -16903.054      1.60574        37.626352     -171.40343      57807.788      27.760908      27.760908      75.009974    
       230  -17000.196      1.4166952      32.991319      584.01805      57526.219      27.715762      27.715762      74.88799     
       240  -17130.351      2.05481        38.008853     -1952.5038      57090.525      27.645613      27.645613      74.698447    
       250  -17264.857      1.5130585      35.554527     -239.44368      56511.768      27.551876      27.551876      74.44517     
       260  -17324.233      1.6751977      36.25941      -1423.7785      56399.279      27.533583      27.533583      74.395742    
       270  -17467.18       1.9917603      44.529764      107.00743      55840.806      27.442401      27.442401      74.149368    
       280  -17607.201      2.3336236      49.20106       1263.2009      55325.978      27.357805      27.357805      73.92079     
       290  -17850.982      1.7136494      36.843775      2464.4233      54826.623      27.275249      27.275249      73.697722    
       300  -18016.886      1.3242549      37.746885     -94.391087      54439.383      27.210882      27.210882      73.523803    
       310  -18194.876      2.10611        44.064247      303.40401      53685.522      27.084695      27.084695      73.182845    
       320  -18362.135      1.3421249      34.562126     -1753.3603      53350.219      27.028189      27.028189      73.030168    
       330  -18508.187      1.6695422      40.126761     -10040.667      53211.132      27.004681      27.004681      72.966648    
       340  -18596.382      1.7814941      40.959658     -97.294486      52434.314      26.872624      26.872624      72.609831    
       350  -18746.552      1.1989192      31.622142      126.44338      52047.612      26.8064        26.8064        72.430892    
       360  -18794.743      3.9438934      53.970729     -339.22948      51789.071      26.76194       26.76194       72.310762    
       370  -18849.432      1.7015365      32.673132     -582.5491       51599.813      26.729301      26.729301      72.22257     
       380  -18932.09       3.5479345      52.121405      292.44037      51394.355      26.693777      26.693777      72.126585    
       390  -18997.524      3.2868345      42.310285     -573.10966      51122.161      26.646568      26.646568      71.999027    
       400  -19041.836      2.7770666      38.214214      662.23572      50903.444      26.608513      26.608513      71.896203    
       410  -19082.323      0.78710561     19.954302      31.874164      50873.318      26.603263      26.603263      71.882016    
       420  -19151.498      1.2110655      26.268776      3777.1097      50583.589      26.552664      26.552664      71.745298    
       430  -19218.643      1.2374832      26.178102      1930.019       50329.389      26.50811       26.50811       71.624914    
       440  -19263.545      0.8421263      19.92026      -3170.1103      50431.081      26.525952      26.525952      71.673122    
       450  -19306.422      0.95851958     17.840404     -3225.595       50291.318      26.501425      26.501425      71.60685     
       460  -19339.276      0.98718522     20.009702      409.59263      49976.783      26.44606       26.44606       71.457255    
       470  -19369.887      2.8360716      42.056921     -349.36663      49909.184      26.434131      26.434131      71.425023    
       480  -19403.932      0.54074624     13.547456      654.93082      49761.256      26.407989      26.407989      71.354386    
       490  -19410.809      1.4090306      22.101239     -269.63654      49816.615      26.417778      26.417778      71.380837    
       500  -19414          3.026619       44.701276     -611.80734      49861.757      26.425755      26.425755      71.402391    
       510  -19443.434      0.68630369     12.71886      -4006.9899      49820.672      26.418495      26.418495      71.382774    
       520  -19462.423      1.1491939      18.076747      2401.5943      49444.467      26.35183       26.35183       71.202646    
       530  -19475.372      0.53274925     10.839992      101.60818      49503.706      26.36235       26.36235       71.23107     
       540  -19479.996      1.7486713      26.424147     -3064.9861      49632.201      26.38514       26.38514       71.292647    
       550  -19492.427      0.578119       12.012225      4344.3957      49300.226      26.326181      26.326181      71.13334     
       560  -19505.207      0.9669857      13.839882     -245.59168      49517.65       26.364825      26.364825      71.237757    
       570  -19511.527      0.39690901     7.2088534      2012.4895      49393.838      26.342833      26.342833      71.178334    
       580  -19511.792      0.54628463     11.781113      189.87764      49457.257      26.354102      26.354102      71.208784    
       590  -19511.817      0.64659357     13.668671      181.00116      49451.607      26.353099      26.353099      71.206073    
       600  -19511.85       0.72103669     15.524626      199.22982      49443.91       26.351731      26.351731      71.202378    
       610  -19511.891      0.74843307     17.113185      208.94239      49435.535      26.350243      26.350243      71.198358    
       620  -19511.94       0.78722915     18.188845      172.81207      49428.029      26.34891       26.34891       71.194754    
       630  -19512.142      0.87399494     18.451798     -79.050759      49422.788      26.347978      26.347978      71.192237    
       640  -19523.354      0.6245393      11.783247     -1340.2599      49508.125      26.363134      26.363134      71.233189    
       650  -19526.665      0.39734104     8.2034203      761.95688      49418.982      26.347302      26.347302      71.19041     
       660  -19529.723      0.22682659     4.6695037     -1033.5395      49486.493      26.359294      26.359294      71.222813    
       670  -19534.452      0.17187486     4.2562565     -404.47932      49423.161      26.348045      26.348045      71.192417    
       680  -19539.358      0.34954499     6.3560299     -1272.9869      49433.668      26.349912      26.349912      71.197461    
       690  -19541.155      1.1399982      17.662949     -100.26269      49332.724      26.331964      26.331964      71.148966    
       700  -19546.104      0.49258117     8.3190714     -47.996669      49333.365      26.332078      26.332078      71.149275    
       710  -19562.691      0.32583738     7.768152      -169.84703      49242.601      26.315919      26.315919      71.105614    
       720  -19566.055      0.99611503     16.574075      414.25695      49238.499      26.315189      26.315189      71.10364     
       730  -19576.541      0.29708525     7.3308133     -3.2805002      49095.142      26.289625      26.289625      71.034567    
       740  -19580.59       0.27642981     6.6387439     -15.158309      49047.29       26.281081      26.281081      71.011481    
       750  -19586.429      0.89242297     14.003329     -656.95525      49006.018      26.273707      26.273707      70.991557    
