# Time-averaged data for fix boxdump
# TimeStep v_lx_val v_ly_val v_lz_val
20000 24.8057 24.8057 67.025
20200 24.8057 24.8057 67.025
20400 24.8057 24.8057 67.025
20600 24.8057 24.8057 67.025
20800 24.8057 24.8057 67.025
21000 24.8057 24.8057 67.025
21200 24.8057 24.8057 67.025
21400 24.8057 24.8057 67.025
21600 24.8057 24.8057 67.025
21800 24.8057 24.8057 67.025
22000 24.8057 24.8057 67.025
22200 24.8057 24.8057 67.025
22400 24.8057 24.8057 67.025
22600 24.8057 24.8057 67.025
22800 24.8057 24.8057 67.025
23000 24.8057 24.8057 67.025
23200 24.8057 24.8057 67.025
23400 24.8057 24.8057 67.025
23600 24.8057 24.8057 67.025
23800 24.8057 24.8057 67.025
24000 24.8057 24.8057 67.025
24200 24.8057 24.8057 67.025
24400 24.8057 24.8057 67.025
24600 24.8057 24.8057 67.025
24800 24.8057 24.8057 67.0249
25000 24.8057 24.8057 67.0249
25200 24.8057 24.8057 67.0249
25400 24.8057 24.8057 67.0249
25600 24.8057 24.8057 67.0249
25800 24.8057 24.8057 67.0249
26000 24.8057 24.8057 67.0249
26200 24.8057 24.8057 67.0249
26400 24.8057 24.8057 67.0249
26600 24.8057 24.8057 67.0249
26800 24.8057 24.8057 67.0249
27000 24.8057 24.8057 67.0249
27200 24.8057 24.8057 67.0249
27400 24.8057 24.8057 67.0249
27600 24.8057 24.8057 67.0249
27800 24.8057 24.8057 67.0249
28000 24.8057 24.8057 67.0249
28200 24.8056 24.8056 67.0249
28400 24.8056 24.8056 67.0249
28600 24.8056 24.8056 67.0248
28800 24.8056 24.8056 67.0248
29000 24.8056 24.8056 67.0248
29200 24.8056 24.8056 67.0248
29400 24.8056 24.8056 67.0248
29600 24.8056 24.8056 67.0248
29800 24.8056 24.8056 67.0248
30000 24.8056 24.8056 67.0248
30200 24.8056 24.8056 67.0248
30400 24.8056 24.8056 67.0248
30600 24.8056 24.8056 67.0248
30800 24.8056 24.8056 67.0248
31000 24.8056 24.8056 67.0248
31200 24.8056 24.8056 67.0247
