# Time-averaged data for fix boxdump
# TimeStep v_lx_val v_ly_val v_lz_val
20000 18.0621 18.0621 18.0621
20200 18.0621 18.0621 18.0621
20400 18.0621 18.0621 18.0621
20600 18.0621 18.0621 18.0621
20800 18.0621 18.0621 18.0621
21000 18.0621 18.0621 18.0621
21200 18.0621 18.0621 18.0621
21400 18.0621 18.0621 18.0621
21600 18.0621 18.0621 18.0621
21800 18.0621 18.0621 18.0621
22000 18.0621 18.0621 18.0621
22200 18.0621 18.0621 18.0621
22400 18.0621 18.0621 18.0621
22600 18.0621 18.0621 18.0621
22800 18.0621 18.0621 18.0621
23000 18.0621 18.0621 18.0621
23200 18.0621 18.0621 18.0621
23400 18.0621 18.0621 18.0621
23600 18.0621 18.0621 18.0621
23800 18.0621 18.0621 18.0621
24000 18.0621 18.0621 18.0621
24200 18.0621 18.0621 18.0621
24400 18.0621 18.0621 18.0621
24600 18.0621 18.0621 18.0621
24800 18.062 18.062 18.062
25000 18.062 18.062 18.062
25200 18.062 18.062 18.062
25400 18.062 18.062 18.062
25600 18.062 18.062 18.062
25800 18.062 18.062 18.062
26000 18.062 18.062 18.062
26200 18.062 18.062 18.062
26400 18.062 18.062 18.062
26600 18.062 18.062 18.062
26800 18.062 18.062 18.062
27000 18.062 18.062 18.062
27200 18.062 18.062 18.062
27400 18.062 18.062 18.062
27600 18.0619 18.0619 18.0619
27800 18.0619 18.0619 18.0619
28000 18.0619 18.0619 18.0619
28200 18.0619 18.0619 18.0619
28400 18.0619 18.0619 18.0619
28600 18.0619 18.0619 18.0619
28800 18.0619 18.0619 18.0619
29000 18.0619 18.0619 18.0619
29200 18.0619 18.0619 18.0619
29400 18.0619 18.0619 18.0619
29600 18.0618 18.0618 18.0618
29800 18.0618 18.0618 18.0618
30000 18.0618 18.0618 18.0618
30200 18.0618 18.0618 18.0618
30400 18.0618 18.0618 18.0618
30600 18.0618 18.0618 18.0618
30800 18.0618 18.0618 18.0618
31000 18.0618 18.0618 18.0618
31200 18.0618 18.0618 18.0618
31400 18.0617 18.0617 18.0617
31600 18.0617 18.0617 18.0617
31800 18.0617 18.0617 18.0617
32000 18.0617 18.0617 18.0617
32200 18.0617 18.0617 18.0617
32400 18.0617 18.0617 18.0617
32600 18.0617 18.0617 18.0617
32800 18.0616 18.0616 18.0616
33000 18.0616 18.0616 18.0616
33200 18.0616 18.0616 18.0616
33400 18.0616 18.0616 18.0616
33600 18.0616 18.0616 18.0616
33800 18.0616 18.0616 18.0616
34000 18.0616 18.0616 18.0616
34200 18.0615 18.0615 18.0615
34400 18.0615 18.0615 18.0615
34600 18.0615 18.0615 18.0615
34800 18.0615 18.0615 18.0615
35000 18.0615 18.0615 18.0615
35200 18.0615 18.0615 18.0615
35400 18.0614 18.0614 18.0614
35600 18.0614 18.0614 18.0614
35800 18.0614 18.0614 18.0614
36000 18.0614 18.0614 18.0614
36200 18.0614 18.0614 18.0614
36400 18.0613 18.0613 18.0613
36600 18.0613 18.0613 18.0613
36800 18.0613 18.0613 18.0613
37000 18.0613 18.0613 18.0613
37200 18.0613 18.0613 18.0613
37400 18.0612 18.0612 18.0612
37600 18.0612 18.0612 18.0612
37800 18.0612 18.0612 18.0612
38000 18.0612 18.0612 18.0612
38200 18.0612 18.0612 18.0612
38400 18.0611 18.0611 18.0611
38600 18.0611 18.0611 18.0611
38800 18.0611 18.0611 18.0611
39000 18.0611 18.0611 18.0611
39200 18.0611 18.0611 18.0611
39400 18.061 18.061 18.061
39600 18.061 18.061 18.061
39800 18.061 18.061 18.061
40000 18.061 18.061 18.061
40200 18.0609 18.0609 18.0609
40400 18.0609 18.0609 18.0609
40600 18.0609 18.0609 18.0609
40800 18.0609 18.0609 18.0609
41000 18.0608 18.0608 18.0608
41200 18.0608 18.0608 18.0608
41400 18.0608 18.0608 18.0608
41600 18.0608 18.0608 18.0608
41800 18.0607 18.0607 18.0607
42000 18.0607 18.0607 18.0607
42200 18.0607 18.0607 18.0607
42400 18.0607 18.0607 18.0607
42600 18.0606 18.0606 18.0606
42800 18.0606 18.0606 18.0606
43000 18.0606 18.0606 18.0606
43200 18.0606 18.0606 18.0606
43400 18.0605 18.0605 18.0605
43600 18.0605 18.0605 18.0605
43800 18.0605 18.0605 18.0605
44000 18.0605 18.0605 18.0605
44200 18.0604 18.0604 18.0604
44400 18.0604 18.0604 18.0604
44600 18.0604 18.0604 18.0604
44800 18.0603 18.0603 18.0603
45000 18.0603 18.0603 18.0603
45200 18.0603 18.0603 18.0603
45400 18.0603 18.0603 18.0603
45600 18.0602 18.0602 18.0602
45800 18.0602 18.0602 18.0602
46000 18.0602 18.0602 18.0602
46200 18.0601 18.0601 18.0601
46400 18.0601 18.0601 18.0601
46600 18.0601 18.0601 18.0601
46800 18.06 18.06 18.06
47000 18.06 18.06 18.06
47200 18.06 18.06 18.06
47400 18.06 18.06 18.06
47600 18.0599 18.0599 18.0599
47800 18.0599 18.0599 18.0599
48000 18.0599 18.0599 18.0599
48200 18.0598 18.0598 18.0598
48400 18.0598 18.0598 18.0598
48600 18.0598 18.0598 18.0598
48800 18.0597 18.0597 18.0597
49000 18.0597 18.0597 18.0597
49200 18.0597 18.0597 18.0597
49400 18.0596 18.0596 18.0596
49600 18.0596 18.0596 18.0596
49800 18.0596 18.0596 18.0596
50000 18.0595 18.0595 18.0595
50200 18.0595 18.0595 18.0595
50400 18.0595 18.0595 18.0595
50600 18.0594 18.0594 18.0594
50800 18.0594 18.0594 18.0594
51000 18.0594 18.0594 18.0594
51200 18.0593 18.0593 18.0593
51400 18.0593 18.0593 18.0593
51600 18.0592 18.0592 18.0592
51800 18.0592 18.0592 18.0592
52000 18.0592 18.0592 18.0592
52200 18.0591 18.0591 18.0591
52400 18.0591 18.0591 18.0591
52600 18.0591 18.0591 18.0591
52800 18.059 18.059 18.059
53000 18.059 18.059 18.059
53200 18.0589 18.0589 18.0589
53400 18.0589 18.0589 18.0589
53600 18.0589 18.0589 18.0589
53800 18.0588 18.0588 18.0588
54000 18.0588 18.0588 18.0588
54200 18.0588 18.0588 18.0588
54400 18.0587 18.0587 18.0587
54600 18.0587 18.0587 18.0587
54800 18.0586 18.0586 18.0586
55000 18.0586 18.0586 18.0586
55200 18.0586 18.0586 18.0586
55400 18.0585 18.0585 18.0585
55600 18.0585 18.0585 18.0585
55800 18.0584 18.0584 18.0584
56000 18.0584 18.0584 18.0584
56200 18.0584 18.0584 18.0584
56400 18.0583 18.0583 18.0583
56600 18.0583 18.0583 18.0583
56800 18.0582 18.0582 18.0582
57000 18.0582 18.0582 18.0582
57200 18.0581 18.0581 18.0581
57400 18.0581 18.0581 18.0581
57600 18.0581 18.0581 18.0581
57800 18.058 18.058 18.058
58000 18.058 18.058 18.058
58200 18.0579 18.0579 18.0579
58400 18.0579 18.0579 18.0579
58600 18.0578 18.0578 18.0578
58800 18.0578 18.0578 18.0578
59000 18.0578 18.0578 18.0578
59200 18.0577 18.0577 18.0577
59400 18.0577 18.0577 18.0577
59600 18.0576 18.0576 18.0576
59800 18.0576 18.0576 18.0576
60000 18.0575 18.0575 18.0575
60200 18.0575 18.0575 18.0575
60400 18.0574 18.0574 18.0574
60600 18.0574 18.0574 18.0574
60800 18.0574 18.0574 18.0574
61000 18.0573 18.0573 18.0573
61200 18.0573 18.0573 18.0573
61400 18.0572 18.0572 18.0572
61600 18.0572 18.0572 18.0572
61800 18.0571 18.0571 18.0571
62000 18.0571 18.0571 18.0571
62200 18.057 18.057 18.057
62400 18.057 18.057 18.057
62600 18.0569 18.0569 18.0569
62800 18.0569 18.0569 18.0569
63000 18.0568 18.0568 18.0568
63200 18.0568 18.0568 18.0568
63400 18.0567 18.0567 18.0567
63600 18.0567 18.0567 18.0567
63800 18.0566 18.0566 18.0566
64000 18.0566 18.0566 18.0566
64200 18.0565 18.0565 18.0565
64400 18.0565 18.0565 18.0565
64600 18.0564 18.0564 18.0564
64800 18.0564 18.0564 18.0564
65000 18.0563 18.0563 18.0563
65200 18.0563 18.0563 18.0563
65400 18.0562 18.0562 18.0562
65600 18.0562 18.0562 18.0562
65800 18.0561 18.0561 18.0561
66000 18.0561 18.0561 18.0561
66200 18.056 18.056 18.056
66400 18.056 18.056 18.056
66600 18.0559 18.0559 18.0559
66800 18.0559 18.0559 18.0559
67000 18.0558 18.0558 18.0558
67200 18.0558 18.0558 18.0558
67400 18.0557 18.0557 18.0557
67600 18.0557 18.0557 18.0557
67800 18.0556 18.0556 18.0556
68000 18.0556 18.0556 18.0556
68200 18.0555 18.0555 18.0555
68400 18.0554 18.0554 18.0554
68600 18.0554 18.0554 18.0554
68800 18.0553 18.0553 18.0553
69000 18.0553 18.0553 18.0553
69200 18.0552 18.0552 18.0552
69400 18.0552 18.0552 18.0552
69600 18.0551 18.0551 18.0551
69800 18.0551 18.0551 18.0551
70000 18.055 18.055 18.055
70200 18.055 18.055 18.055
70400 18.0549 18.0549 18.0549
70600 18.0548 18.0548 18.0548
70800 18.0548 18.0548 18.0548
71000 18.0547 18.0547 18.0547
71200 18.0547 18.0547 18.0547
71400 18.0546 18.0546 18.0546
71600 18.0546 18.0546 18.0546
71800 18.0545 18.0545 18.0545
72000 18.0544 18.0544 18.0544
72200 18.0544 18.0544 18.0544
72400 18.0543 18.0543 18.0543
72600 18.0543 18.0543 18.0543
72800 18.0542 18.0542 18.0542
73000 18.0542 18.0542 18.0542
73200 18.0541 18.0541 18.0541
73400 18.054 18.054 18.054
73600 18.054 18.054 18.054
73800 18.0539 18.0539 18.0539
74000 18.0539 18.0539 18.0539
74200 18.0538 18.0538 18.0538
74400 18.0537 18.0537 18.0537
74600 18.0537 18.0537 18.0537
74800 18.0536 18.0536 18.0536
75000 18.0536 18.0536 18.0536
75200 18.0535 18.0535 18.0535
75400 18.0534 18.0534 18.0534
75600 18.0534 18.0534 18.0534
75800 18.0533 18.0533 18.0533
76000 18.0533 18.0533 18.0533
76200 18.0532 18.0532 18.0532
76400 18.0531 18.0531 18.0531
76600 18.0531 18.0531 18.0531
76800 18.053 18.053 18.053
77000 18.0529 18.0529 18.0529
77200 18.0529 18.0529 18.0529
77400 18.0528 18.0528 18.0528
77600 18.0528 18.0528 18.0528
77800 18.0527 18.0527 18.0527
78000 18.0526 18.0526 18.0526
78200 18.0526 18.0526 18.0526
78400 18.0525 18.0525 18.0525
78600 18.0524 18.0524 18.0524
78800 18.0524 18.0524 18.0524
79000 18.0523 18.0523 18.0523
79200 18.0522 18.0522 18.0522
79400 18.0522 18.0522 18.0522
79600 18.0521 18.0521 18.0521
79800 18.0521 18.0521 18.0521
80000 18.052 18.052 18.052
80200 18.0519 18.0519 18.0519
80400 18.0519 18.0519 18.0519
80600 18.0518 18.0518 18.0518
80800 18.0517 18.0517 18.0517
81000 18.0517 18.0517 18.0517
81200 18.0516 18.0516 18.0516
81400 18.0515 18.0515 18.0515
81600 18.0515 18.0515 18.0515
81800 18.0514 18.0514 18.0514
82000 18.0513 18.0513 18.0513
82200 18.0513 18.0513 18.0513
82400 18.0512 18.0512 18.0512
82600 18.0511 18.0511 18.0511
82800 18.0511 18.0511 18.0511
83000 18.051 18.051 18.051
83200 18.0509 18.0509 18.0509
83400 18.0509 18.0509 18.0509
83600 18.0508 18.0508 18.0508
83800 18.0507 18.0507 18.0507
84000 18.0506 18.0506 18.0506
84200 18.0506 18.0506 18.0506
84400 18.0505 18.0505 18.0505
84600 18.0504 18.0504 18.0504
84800 18.0504 18.0504 18.0504
85000 18.0503 18.0503 18.0503
85200 18.0502 18.0502 18.0502
85400 18.0502 18.0502 18.0502
85600 18.0501 18.0501 18.0501
85800 18.05 18.05 18.05
86000 18.05 18.05 18.05
86200 18.0499 18.0499 18.0499
86400 18.0498 18.0498 18.0498
86600 18.0497 18.0497 18.0497
86800 18.0497 18.0497 18.0497
87000 18.0496 18.0496 18.0496
87200 18.0495 18.0495 18.0495
87400 18.0494 18.0494 18.0494
87600 18.0494 18.0494 18.0494
87800 18.0493 18.0493 18.0493
88000 18.0492 18.0492 18.0492
88200 18.0492 18.0492 18.0492
88400 18.0491 18.0491 18.0491
88600 18.049 18.049 18.049
88800 18.0489 18.0489 18.0489
89000 18.0489 18.0489 18.0489
89200 18.0488 18.0488 18.0488
89400 18.0487 18.0487 18.0487
89600 18.0486 18.0486 18.0486
89800 18.0486 18.0486 18.0486
90000 18.0485 18.0485 18.0485
90200 18.0484 18.0484 18.0484
90400 18.0483 18.0483 18.0483
90600 18.0483 18.0483 18.0483
90800 18.0482 18.0482 18.0482
91000 18.0481 18.0481 18.0481
91200 18.048 18.048 18.048
91400 18.048 18.048 18.048
91600 18.0479 18.0479 18.0479
91800 18.0478 18.0478 18.0478
92000 18.0477 18.0477 18.0477
92200 18.0477 18.0477 18.0477
92400 18.0476 18.0476 18.0476
92600 18.0475 18.0475 18.0475
92800 18.0474 18.0474 18.0474
93000 18.0474 18.0474 18.0474
93200 18.0473 18.0473 18.0473
93400 18.0472 18.0472 18.0472
93600 18.0471 18.0471 18.0471
93800 18.047 18.047 18.047
94000 18.047 18.047 18.047
94200 18.0469 18.0469 18.0469
94400 18.0468 18.0468 18.0468
94600 18.0467 18.0467 18.0467
94800 18.0467 18.0467 18.0467
95000 18.0466 18.0466 18.0466
95200 18.0465 18.0465 18.0465
95400 18.0464 18.0464 18.0464
95600 18.0463 18.0463 18.0463
95800 18.0463 18.0463 18.0463
96000 18.0462 18.0462 18.0462
96200 18.0461 18.0461 18.0461
96400 18.046 18.046 18.046
96600 18.0459 18.0459 18.0459
96800 18.0459 18.0459 18.0459
97000 18.0458 18.0458 18.0458
97200 18.0457 18.0457 18.0457
97400 18.0456 18.0456 18.0456
97600 18.0455 18.0455 18.0455
97800 18.0455 18.0455 18.0455
98000 18.0454 18.0454 18.0454
98200 18.0453 18.0453 18.0453
98400 18.0452 18.0452 18.0452
98600 18.0451 18.0451 18.0451
98800 18.0451 18.0451 18.0451
99000 18.045 18.045 18.045
99200 18.0449 18.0449 18.0449
99400 18.0448 18.0448 18.0448
99600 18.0447 18.0447 18.0447
99800 18.0447 18.0447 18.0447
100000 18.0446 18.0446 18.0446
100200 18.0445 18.0445 18.0445
100400 18.0444 18.0444 18.0444
100600 18.0443 18.0443 18.0443
100800 18.0442 18.0442 18.0442
101000 18.0442 18.0442 18.0442
101200 18.0441 18.0441 18.0441
101400 18.044 18.044 18.044
101600 18.0439 18.0439 18.0439
101800 18.0438 18.0438 18.0438
102000 18.0437 18.0437 18.0437
102200 18.0437 18.0437 18.0437
102400 18.0436 18.0436 18.0436
102600 18.0435 18.0435 18.0435
102800 18.0434 18.0434 18.0434
103000 18.0433 18.0433 18.0433
103200 18.0432 18.0432 18.0432
103400 18.0432 18.0432 18.0432
103600 18.0431 18.0431 18.0431
103800 18.043 18.043 18.043
104000 18.0429 18.0429 18.0429
104200 18.0428 18.0428 18.0428
104400 18.0427 18.0427 18.0427
104600 18.0427 18.0427 18.0427
104800 18.0426 18.0426 18.0426
105000 18.0425 18.0425 18.0425
105200 18.0424 18.0424 18.0424
105400 18.0423 18.0423 18.0423
105600 18.0422 18.0422 18.0422
105800 18.0421 18.0421 18.0421
106000 18.0421 18.0421 18.0421
106200 18.042 18.042 18.042
106400 18.0419 18.0419 18.0419
106600 18.0418 18.0418 18.0418
106800 18.0417 18.0417 18.0417
107000 18.0416 18.0416 18.0416
107200 18.0415 18.0415 18.0415
107400 18.0414 18.0414 18.0414
107600 18.0414 18.0414 18.0414
107800 18.0413 18.0413 18.0413
108000 18.0412 18.0412 18.0412
108200 18.0411 18.0411 18.0411
108400 18.041 18.041 18.041
108600 18.0409 18.0409 18.0409
108800 18.0408 18.0408 18.0408
109000 18.0407 18.0407 18.0407
109200 18.0407 18.0407 18.0407
109400 18.0406 18.0406 18.0406
109600 18.0405 18.0405 18.0405
109800 18.0404 18.0404 18.0404
110000 18.0403 18.0403 18.0403
110200 18.0402 18.0402 18.0402
110400 18.0401 18.0401 18.0401
110600 18.04 18.04 18.04
110800 18.04 18.04 18.04
111000 18.0399 18.0399 18.0399
111200 18.0398 18.0398 18.0398
111400 18.0397 18.0397 18.0397
111600 18.0396 18.0396 18.0396
111800 18.0395 18.0395 18.0395
112000 18.0394 18.0394 18.0394
112200 18.0393 18.0393 18.0393
112400 18.0392 18.0392 18.0392
112600 18.0391 18.0391 18.0391
112800 18.0391 18.0391 18.0391
113000 18.039 18.039 18.039
113200 18.0389 18.0389 18.0389
113400 18.0388 18.0388 18.0388
113600 18.0387 18.0387 18.0387
113800 18.0386 18.0386 18.0386
114000 18.0385 18.0385 18.0385
114200 18.0384 18.0384 18.0384
114400 18.0383 18.0383 18.0383
114600 18.0382 18.0382 18.0382
114800 18.0381 18.0381 18.0381
115000 18.0381 18.0381 18.0381
115200 18.038 18.038 18.038
115400 18.0379 18.0379 18.0379
115600 18.0378 18.0378 18.0378
115800 18.0377 18.0377 18.0377
116000 18.0376 18.0376 18.0376
116200 18.0375 18.0375 18.0375
116400 18.0374 18.0374 18.0374
116600 18.0373 18.0373 18.0373
116800 18.0372 18.0372 18.0372
117000 18.0371 18.0371 18.0371
117200 18.037 18.037 18.037
117400 18.037 18.037 18.037
117600 18.0369 18.0369 18.0369
117800 18.0368 18.0368 18.0368
118000 18.0367 18.0367 18.0367
118200 18.0366 18.0366 18.0366
118400 18.0365 18.0365 18.0365
118600 18.0364 18.0364 18.0364
118800 18.0363 18.0363 18.0363
119000 18.0362 18.0362 18.0362
119200 18.0361 18.0361 18.0361
119400 18.036 18.036 18.036
119600 18.0359 18.0359 18.0359
119800 18.0358 18.0358 18.0358
120000 18.0357 18.0357 18.0357
120200 18.0356 18.0356 18.0356
120400 18.0355 18.0355 18.0355
120600 18.0355 18.0355 18.0355
120800 18.0354 18.0354 18.0354
121000 18.0353 18.0353 18.0353
121200 18.0352 18.0352 18.0352
121400 18.0351 18.0351 18.0351
121600 18.035 18.035 18.035
121800 18.0349 18.0349 18.0349
122000 18.0348 18.0348 18.0348
122200 18.0347 18.0347 18.0347
122400 18.0346 18.0346 18.0346
122600 18.0345 18.0345 18.0345
122800 18.0344 18.0344 18.0344
123000 18.0343 18.0343 18.0343
123200 18.0342 18.0342 18.0342
123400 18.0341 18.0341 18.0341
123600 18.034 18.034 18.034
123800 18.0339 18.0339 18.0339
124000 18.0338 18.0338 18.0338
124200 18.0337 18.0337 18.0337
124400 18.0336 18.0336 18.0336
124600 18.0335 18.0335 18.0335
124800 18.0335 18.0335 18.0335
125000 18.0334 18.0334 18.0334
125200 18.0333 18.0333 18.0333
125400 18.0332 18.0332 18.0332
125600 18.0331 18.0331 18.0331
125800 18.033 18.033 18.033
126000 18.0329 18.0329 18.0329
126200 18.0328 18.0328 18.0328
126400 18.0327 18.0327 18.0327
126600 18.0326 18.0326 18.0326
126800 18.0325 18.0325 18.0325
127000 18.0324 18.0324 18.0324
127200 18.0323 18.0323 18.0323
127400 18.0322 18.0322 18.0322
127600 18.0321 18.0321 18.0321
127800 18.032 18.032 18.032
128000 18.0319 18.0319 18.0319
128200 18.0318 18.0318 18.0318
128400 18.0317 18.0317 18.0317
128600 18.0316 18.0316 18.0316
128800 18.0315 18.0315 18.0315
129000 18.0314 18.0314 18.0314
129200 18.0313 18.0313 18.0313
129400 18.0312 18.0312 18.0312
129600 18.0311 18.0311 18.0311
129800 18.031 18.031 18.031
130000 18.0309 18.0309 18.0309
130200 18.0308 18.0308 18.0308
130400 18.0307 18.0307 18.0307
130600 18.0306 18.0306 18.0306
130800 18.0305 18.0305 18.0305
131000 18.0304 18.0304 18.0304
131200 18.0303 18.0303 18.0303
131400 18.0302 18.0302 18.0302
131600 18.0301 18.0301 18.0301
131800 18.03 18.03 18.03
132000 18.0299 18.0299 18.0299
132200 18.0298 18.0298 18.0298
132400 18.0297 18.0297 18.0297
132600 18.0296 18.0296 18.0296
132800 18.0295 18.0295 18.0295
133000 18.0294 18.0294 18.0294
133200 18.0293 18.0293 18.0293
133400 18.0292 18.0292 18.0292
133600 18.0291 18.0291 18.0291
133800 18.029 18.029 18.029
134000 18.0289 18.0289 18.0289
134200 18.0288 18.0288 18.0288
134400 18.0287 18.0287 18.0287
134600 18.0286 18.0286 18.0286
134800 18.0285 18.0285 18.0285
135000 18.0284 18.0284 18.0284
135200 18.0283 18.0283 18.0283
135400 18.0282 18.0282 18.0282
135600 18.0281 18.0281 18.0281
135800 18.028 18.028 18.028
136000 18.0279 18.0279 18.0279
136200 18.0278 18.0278 18.0278
136400 18.0277 18.0277 18.0277
136600 18.0276 18.0276 18.0276
136800 18.0275 18.0275 18.0275
137000 18.0274 18.0274 18.0274
137200 18.0273 18.0273 18.0273
137400 18.0272 18.0272 18.0272
137600 18.0271 18.0271 18.0271
137800 18.027 18.027 18.027
138000 18.0269 18.0269 18.0269
138200 18.0268 18.0268 18.0268
138400 18.0267 18.0267 18.0267
138600 18.0266 18.0266 18.0266
138800 18.0265 18.0265 18.0265
139000 18.0264 18.0264 18.0264
139200 18.0263 18.0263 18.0263
139400 18.0262 18.0262 18.0262
139600 18.0261 18.0261 18.0261
139800 18.026 18.026 18.026
140000 18.0259 18.0259 18.0259
140200 18.0258 18.0258 18.0258
140400 18.0257 18.0257 18.0257
140600 18.0256 18.0256 18.0256
140800 18.0255 18.0255 18.0255
141000 18.0254 18.0254 18.0254
141200 18.0253 18.0253 18.0253
141400 18.0252 18.0252 18.0252
141600 18.0251 18.0251 18.0251
141800 18.025 18.025 18.025
142000 18.0249 18.0249 18.0249
142200 18.0248 18.0248 18.0248
142400 18.0247 18.0247 18.0247
142600 18.0246 18.0246 18.0246
142800 18.0245 18.0245 18.0245
143000 18.0244 18.0244 18.0244
143200 18.0243 18.0243 18.0243
143400 18.0242 18.0242 18.0242
143600 18.0241 18.0241 18.0241
143800 18.024 18.024 18.024
144000 18.0239 18.0239 18.0239
144200 18.0238 18.0238 18.0238
144400 18.0237 18.0237 18.0237
144600 18.0236 18.0236 18.0236
144800 18.0235 18.0235 18.0235
145000 18.0234 18.0234 18.0234
145200 18.0233 18.0233 18.0233
145400 18.0232 18.0232 18.0232
145600 18.0231 18.0231 18.0231
145800 18.023 18.023 18.023
146000 18.0229 18.0229 18.0229
146200 18.0228 18.0228 18.0228
146400 18.0227 18.0227 18.0227
146600 18.0226 18.0226 18.0226
146800 18.0225 18.0225 18.0225
147000 18.0224 18.0224 18.0224
147200 18.0223 18.0223 18.0223
147400 18.0221 18.0221 18.0221
147600 18.022 18.022 18.022
147800 18.0219 18.0219 18.0219
148000 18.0218 18.0218 18.0218
148200 18.0217 18.0217 18.0217
148400 18.0216 18.0216 18.0216
148600 18.0215 18.0215 18.0215
148800 18.0214 18.0214 18.0214
149000 18.0213 18.0213 18.0213
