# Time-averaged data for fix thermo_out
# TimeStep c_surf_temp
20400 309.254
20600 295.754
20800 312.313
21000 307.854
21200 309.588
21400 297.052
21600 293.091
21800 303.72
22000 328.03
22200 325.238
22400 329.512
22600 306.502
22800 302.357
23000 306.498
23200 302.896
23400 293.869
23600 305.457
23800 300.12
24000 302.81
24200 322.576
24400 308.311
24600 314.43
24800 315.748
25000 302.818
25200 305.44
25400 307.181
25600 314.984
25800 298.915
26000 317.2
26200 317.171
26400 317.123
26600 315.123
26800 325.589
27000 295.14
27200 308.352
27400 320.877
27600 297.947
27800 323.466
28000 270.202
28200 317.121
28400 313.983
28600 307.978
28800 325.699
29000 308.362
29200 335.795
29400 328.57
29600 310.024
29800 298.01
30000 298.229
30200 297.149
30400 312.567
30600 319.513
30800 317.018
31000 301.722
31200 345.201
31400 313.887
31600 315.617
31800 297.612
32000 325.488
32200 294.945
32400 298.988
32600 317.997
32800 333.585
33000 313.85
33200 295.245
33400 314.437
33600 318.45
33800 320.361
34000 307.546
34200 321.251
34400 334.515
34600 304.799
34800 317.391
35000 316.034
35200 283.225
35400 305.504
35600 309.618
35800 287.228
36000 302.537
36200 305.503
36400 311.644
36600 286.07
36800 311.088
37000 297.81
37200 314.881
37400 312.982
37600 318.184
37800 306.645
38000 304.827
38200 309.926
38400 314.214
38600 311.445
38800 302.712
39000 314.423
39200 309.244
39400 307.347
39600 324.985
39800 311.168
40000 305.878
40200 326.18
40400 302.961
40600 298.502
40800 303.439
41000 309.559
41200 309.102
41400 313.46
41600 307.406
41800 301.626
42000 291.475
42200 294.133
42400 305.391
42600 304.621
42800 308.359
43000 313.627
43200 314.702
43400 306.568
43600 313.62
43800 308.883
44000 302.754
44200 321.479
44400 319.023
44600 288.741
44800 315.548
45000 330.17
45200 329.922
45400 299.695
45600 305.332
45800 307.43
46000 305.254
46200 315.244
46400 302.428
46600 303.996
46800 325.999
47000 297.515
47200 323.219
47400 322.293
47600 292.648
47800 332.371
48000 297.011
48200 303.641
48400 291.204
48600 309.053
48800 318.723
49000 286.749
49200 307.663
49400 313.39
49600 302.995
49800 288.579
50000 300.499
50200 304.432
50400 310.719
50600 304.491
50800 303.418
51000 295.79
51200 303.676
51400 306.368
51600 283.753
51800 289.975
52000 323.722
52200 310.127
52400 295.03
52600 324.11
52800 302.928
53000 311.361
53200 295.956
53400 306.229
53600 315.294
53800 299.784
54000 304.267
54200 294.901
54400 321.076
54600 300.834
54800 316.895
55000 331.451
55200 322.897
55400 311.795
55600 311.2
55800 317.769
56000 296.834
56200 323.9
56400 320.736
56600 320.413
56800 298.124
57000 284.944
57200 316.001
57400 301.199
57600 338.643
57800 311.299
58000 322.089
58200 307.92
58400 306.569
58600 313.172
58800 284.359
59000 296.739
59200 318.106
59400 312.094
59600 316.602
59800 316.188
60000 300.244
60200 327.764
60400 311.138
60600 294.926
60800 295.581
61000 292.282
61200 310.177
61400 330.665
61600 326.517
61800 311.884
62000 315.67
62200 289.152
62400 312.491
62600 320.256
62800 316.35
63000 301.289
63200 306.394
63400 297.439
63600 294.318
63800 308.894
64000 320.946
64200 307.99
64400 308.548
64600 305.404
64800 331.525
65000 303.827
65200 302.618
65400 306.451
65600 295.637
65800 315.178
66000 311.965
66200 315.738
66400 290.136
66600 307.102
66800 302.95
67000 331.658
67200 300.374
67400 315.252
67600 299.013
67800 303.464
68000 292.823
68200 320.572
68400 322.432
68600 313.648
68800 299.642
69000 319.565
69200 319.803
69400 307.443
69600 312.227
69800 309.946
70000 288.555
70200 298.41
70400 303.264
70600 287.06
70800 316.38
71000 308.52
71200 314.382
71400 324.932
71600 321.969
71800 307.75
72000 325.85
72200 294.869
72400 305.247
72600 313.402
72800 310.455
73000 306.589
73200 315.544
73400 316.793
73600 302.807
73800 321.441
74000 296.445
74200 301.037
74400 303.102
74600 309.012
74800 300.981
75000 322.338
75200 313.534
75400 288.417
75600 309.854
75800 325.321
76000 304.291
76200 318.077
76400 317.377
76600 306.171
76800 291.379
77000 304.912
77200 322.898
77400 309.856
77600 298.042
77800 306.427
78000 298.16
78200 320.425
78400 311.702
78600 297.998
78800 300.717
79000 297.705
79200 314.727
79400 311.679
79600 329.827
79800 312.905
80000 293.465
80200 315.504
80400 322.957
80600 300.068
80800 321.269
81000 305.831
81200 291.67
81400 300.251
81600 299.53
81800 300.464
82000 309.261
82200 298.144
82400 298.179
82600 295.348
82800 300.043
83000 295.542
83200 329.353
83400 315.265
83600 323.676
83800 299.009
84000 322.644
84200 311.779
84400 319.637
84600 313.42
84800 296.218
85000 304.434
85200 285.665
85400 264.851
85600 297.132
85800 310.087
86000 303.984
86200 301.937
86400 300.919
86600 317.374
86800 309.582
87000 294.182
87200 321.457
87400 305.05
87600 307.596
87800 323.488
88000 307.16
88200 297.513
88400 298.13
88600 301.579
88800 294.792
89000 313.671
89200 318.826
89400 301.49
89600 319.972
89800 298.015
90000 299.049
90200 313.08
90400 302.821
90600 320.768
90800 300.562
91000 324.142
91200 288.46
91400 304.915
91600 323.433
91800 305.648
92000 305.65
92200 302.54
92400 310.376
92600 297.507
92800 305.49
93000 313.484
93200 320.038
93400 304.501
93600 284.014
93800 316.495
94000 301.481
94200 299.592
94400 322.616
94600 305.008
94800 300.486
95000 301.362
95200 286.678
95400 309.901
95600 296.642
95800 305.963
96000 310.545
96200 313.666
96400 307.6
96600 310.023
96800 323.252
97000 303.046
97200 306.749
97400 307.208
97600 308.668
97800 283.509
98000 315.822
98200 302.38
98400 310.144
98600 316.275
98800 294.364
99000 311.333
99200 311.194
99400 293.04
99600 303.561
99800 321.906
100000 297.829
100200 292.822
100400 296.287
100600 315.93
100800 301.372
101000 311.101
101200 302.604
101400 336.236
101600 289.745
101800 307.832
102000 298.018
102200 296.61
102400 319.839
102600 303.475
102800 303.365
103000 307.437
103200 313.075
103400 320.139
103600 314.038
103800 315.811
104000 314.459
104200 299.541
104400 295.09
104600 307.716
104800 326.643
105000 303.56
105200 295.191
105400 303.854
105600 291.465
105800 314.114
106000 299.857
106200 301.034
106400 311.271
106600 318.025
106800 315.896
107000 289.754
107200 322.429
107400 310.354
107600 294.348
107800 309.586
108000 299.39
108200 300.089
108400 297.622
108600 309.434
108800 293.464
109000 313.124
109200 314.197
109400 300.54
109600 307.793
109800 320.607
110000 313.974
110200 318.098
110400 314.911
110600 310.196
110800 297.475
111000 302.156
111200 309.37
111400 282.15
111600 302.851
111800 314.934
112000 309.04
112200 315.763
112400 308.441
112600 322.414
112800 306.595
113000 302.609
113200 306.723
113400 306.34
113600 323.389
113800 327.972
114000 301.254
114200 296.199
114400 314.575
114600 302.44
114800 314.726
115000 294.17
115200 308.702
115400 299.788
115600 290.433
115800 310.557
116000 295.981
116200 323.252
116400 305.676
116600 317.479
116800 325.604
117000 320.397
117200 293.845
117400 309.704
117600 302.473
117800 299.239
118000 287.21
118200 285.368
118400 322.029
118600 303.084
118800 300.376
119000 320.88
119200 296.001
119400 310.468
119600 317.49
119800 321.146
120000 307.251
120200 295.513
120400 296.011
120600 308.268
120800 311.56
121000 308.698
121200 305.029
121400 309.526
121600 306.49
121800 299.159
122000 308.517
122200 301.162
122400 320.15
122600 303.064
122800 301.823
123000 284.059
123200 298.227
123400 288.69
123600 307.783
123800 311.76
124000 291.089
124200 329.341
124400 293.623
124600 297.933
124800 303.898
125000 313.155
125200 288.624
125400 289.062
125600 295.159
125800 298.62
126000 302.681
126200 309.264
126400 309.639
126600 290.306
126800 283.384
127000 292.822
127200 293.442
127400 319.24
127600 287.511
127800 301.256
128000 293.997
128200 313.268
128400 311.656
128600 316.126
128800 319.703
129000 292.575
129200 302.526
129400 302.969
129600 287.845
129800 315.619
130000 317.266
130200 283.421
130400 284.544
130600 286.275
130800 310.726
131000 300.329
131200 302.429
131400 302.915
131600 296.911
131800 319.487
132000 300.094
132200 318.541
132400 315.146
132600 304.629
132800 311.03
133000 301.403
133200 299.336
133400 327.664
133600 305.985
133800 297.08
134000 310.667
134200 305.842
134400 313.177
134600 312.363
134800 308.195
135000 301.189
135200 306.415
135400 307.114
135600 289.049
135800 284.284
136000 304.07
136200 313.458
136400 285.916
136600 291.472
136800 305.975
137000 312.311
137200 305.384
137400 319.6
137600 303.253
137800 290.28
138000 304.051
138200 299.348
138400 303.487
138600 294.96
138800 321.945
139000 292.868
139200 311.638
139400 289.323
139600 296.679
139800 295.479
140000 298.361
140200 304.861
140400 293.154
140600 298.413
140800 309.983
141000 303.518
141200 299.544
141400 312.462
141600 326.135
141800 308.363
142000 283.759
142200 301.041
142400 323.223
142600 295.184
142800 289.271
143000 281.301
143200 300.899
143400 324.358
143600 303.068
143800 282.084
144000 298.55
144200 304.356
144400 303.968
144600 308.806
144800 283.676
145000 305.338
145200 276.655
145400 298.959
145600 314.978
145800 311.888
146000 318.791
146200 284.729
146400 305.587
146600 292.487
146800 295.862
147000 297.318
147200 293.025
147400 282.671
147600 299.852
147800 311.803
148000 319.676
148200 314.69
148400 315.994
148600 310.092
148800 296.727
149000 308.029
149200 307.861
149400 302.755
149600 277.43
149800 304.105
150000 291.416
150200 291.389
150400 293.078
150600 307.198
150800 301.22
151000 303.626
151200 311.434
151400 307.805
151600 322.579
151800 307.544
152000 322.619
152200 288.342
152400 314.432
152600 285.997
152800 294.561
153000 295.221
153200 294.756
153400 293.641
153600 325.265
153800 315.333
154000 291.109
154200 297.899
154400 298.93
154600 282.442
154800 298.246
155000 297.835
155200 314.355
155400 307.703
155600 288.103
155800 321.428
156000 316.668
156200 282.356
156400 298.498
156600 310.921
156800 295.14
157000 287.658
157200 273.749
157400 307.398
157600 283.804
157800 312.394
158000 302.686
158200 312.48
158400 279.459
158600 309.635
158800 296.509
159000 305.849
159200 298.444
159400 278.561
159600 300.794
159800 297.747
160000 303.842
160200 280.139
160400 330.246
160600 297.298
160800 337.17
161000 292.543
161200 303.542
161400 286.321
161600 294.943
161800 286.533
162000 312.995
162200 289.491
162400 295.143
162600 302.37
162800 297.582
163000 303.767
163200 295.016
163400 310.644
163600 315.054
163800 320.856
164000 309.489
164200 298.766
164400 288.874
164600 300.263
164800 301.997
165000 299.761
165200 304.32
165400 273.913
165600 282.103
165800 286.543
166000 313.971
166200 291.743
166400 303.183
166600 280.328
166800 288.72
167000 304.842
167200 290.769
167400 306.446
167600 299.708
167800 282.391
168000 297.645
168200 295.725
168400 300.363
168600 294.751
168800 307.876
169000 302.422
169200 315.439
169400 315.029
169600 295.444
169800 300.641
170000 292.709
170200 298.255
170400 299.956
170600 294.669
170800 302.075
171000 310.761
171200 287.26
171400 307.688
171600 300.482
171800 322.863
172000 278.651
172200 300.627
172400 313.568
172600 295.831
172800 308.166
173000 296.432
173200 282.623
173400 307.874
173600 302.45
173800 291.265
174000 306.523
174200 289.289
174400 287.561
174600 293.171
174800 283.57
175000 303.622
175200 300.763
175400 278.173
175600 284.913
175800 294.92
176000 294.333
176200 294.571
176400 281.05
176600 293.921
176800 302.3
177000 309.776
177200 296.436
177400 287.558
177600 303.103
177800 309.561
178000 286.759
178200 295.414
178400 310.597
178600 315.731
178800 316.658
179000 283.045
179200 305.508
179400 323.044
179600 319.236
179800 299.304
180000 278.508
180200 297.515
180400 301
180600 265.951
180800 286.845
181000 297.399
181200 296.688
181400 285.813
181600 307.61
181800 302.576
182000 302.22
182200 298.242
182400 310.186
182600 283.674
182800 294.742
183000 300.697
183200 301.866
183400 293.413
183600 302.016
183800 297.833
184000 301.517
184200 287.776
184400 298.4
184600 294.004
184800 296.613
185000 286.168
185200 292.004
185400 290.617
185600 302.397
185800 291.364
186000 291.747
186200 292.803
186400 293.281
186600 294.777
186800 302.637
187000 332.54
187200 297.345
187400 302.168
187600 287.416
187800 287.639
188000 295.599
188200 304.884
188400 288.522
188600 301.213
188800 294.835
189000 290.118
189200 311.746
189400 292.572
189600 296.408
189800 315.345
190000 300.628
190200 282.006
190400 274.192
190600 294.303
190800 296.391
191000 299.205
191200 300.509
191400 295.325
191600 279.005
191800 285.291
192000 296.261
192200 302.328
192400 282.801
192600 295.903
192800 269.167
193000 297.139
193200 302.621
193400 293.246
193600 295.146
193800 292.811
194000 283.567
194200 279.512
194400 270.749
194600 298.135
194800 293.468
195000 303.2
195200 293.267
195400 269.949
195600 295.552
195800 310.07
196000 302.858
196200 293.434
196400 300.471
196600 295.368
196800 304.421
197000 307.671
197200 294.503
197400 295.184
197600 264.083
197800 284.91
198000 286.167
198200 301.49
198400 304.267
198600 281.196
198800 273.033
199000 302.499
199200 272.877
199400 282.526
199600 303.024
199800 293.644
200000 271.379
200200 284.583
200400 293.824
200600 283.53
200800 307.812
201000 283.422
201200 279.303
201400 315.633
201600 293.935
201800 290.913
202000 290.377
202200 304.885
202400 294.554
202600 305.545
202800 306.599
203000 281.657
203200 290.528
203400 287.422
203600 273.296
203800 278.18
204000 295.621
204200 281.089
204400 290.413
204600 294.513
204800 288.885
205000 313.654
205200 283.005
205400 297.168
205600 296.429
205800 298.154
206000 299.089
206200 314.879
206400 259.827
206600 291.502
206800 309.696
207000 294.823
207200 286.954
207400 289.174
207600 280.663
207800 295.973
208000 283.464
208200 293.162
208400 290.272
208600 285.467
208800 307.238
209000 289.835
209200 280.24
209400 305.521
209600 310.168
209800 285.638
210000 298.249
210200 290.852
210400 278.43
210600 300.708
210800 291.599
211000 295.424
211200 279.419
211400 282.433
211600 282.446
211800 289.008
212000 286.004
212200 304.322
212400 293.952
212600 294.523
212800 302.582
213000 290.084
213200 315.431
213400 275.748
213600 279.362
213800 298.709
214000 283.129
214200 297.442
214400 284.081
214600 302.623
214800 278.382
215000 280.839
215200 286.266
215400 280.483
215600 300.736
215800 277.484
216000 278.153
216200 292.571
216400 293.916
216600 276.278
216800 263.676
217000 299.158
217200 287.281
217400 273.392
217600 309.391
217800 315.67
218000 267.381
218200 300.064
218400 271.16
218600 284.222
218800 291.683
219000 287.661
219200 309.242
219400 280.534
219600 288.403
219800 288.472
220000 272.684
220200 281.447
