Hastelloy N (111) H2 Adsorption Energies
==================================================
E(H2 gas)     = -6.790499 eV
E(clean slab) = -2390.650448 eV

Site               E(slab+H2) eV     E_ads eV
----------------------------------------------
Top-Al              -2397.653996      -0.2130
Top-B               -2397.622067      -0.1811
Top-Ni              -2397.612966      -0.1720
FCC Hollow          -2397.612966      -0.1720
HCP Hollow          -2397.612966      -0.1720
Top-Cr              -2397.611453      -0.1705
Top-Mo              -2397.567833      -0.1269
Bridge              -2397.543454      -0.1025
Top-C               -2397.537760      -0.0968
