# image  E(eV)  dE_from_IS(eV)
0.0000  -2399.667568  +0.0000
0.0526  -2399.133884  +0.5337
0.1053  -2399.144478  +0.5231
0.1579  -2398.742785  +0.9248
0.2105  -2398.280543  +1.3870
0.2632  -2398.023137  +1.6444
0.3158  -2397.908786  +1.7588
0.3684  -2397.881478  +1.7861
0.4211  -2397.876017  +1.7916
0.4737  -2397.879956  +1.7876
0.5263  -2397.890745  +1.7768
0.5789  -2397.948337  +1.7192
0.6316  -2398.213447  +1.4541
0.6842  -2398.896339  +0.7712
0.7368  -2399.445020  +0.2225
0.7895  -2399.697538  -0.0300
0.8421  -2399.967724  -0.3002
0.8947  -2400.404302  -0.7367
0.9474  -2400.565451  -0.8979
1.0000  -2400.512215  -0.8446
