# image  E(eV)  dE_from_IS(eV)
0.0000  -2398.157466  +0.0000
0.0526  -2397.824835  +0.3326
0.1053  -2396.739267  +1.4182
0.1579  -2396.710421  +1.4470
0.2105  -2396.672254  +1.4852
0.2632  -2396.628262  +1.5292
0.3158  -2396.590500  +1.5670
0.3684  -2396.568783  +1.5887
0.4211  -2396.564747  +1.5927
0.4737  -2396.569798  +1.5877
0.5263  -2396.571389  +1.5861
0.5789  -2396.566230  +1.5912
0.6316  -2396.561674  +1.5958
0.6842  -2396.616966  +1.5405
0.7368  -2396.839040  +1.3184
0.7895  -2397.346474  +0.8110
0.8421  -2397.914619  +0.2428
0.8947  -2398.162825  -0.0054
0.9474  -2398.565958  -0.4085
1.0000  -2398.843631  -0.6862
