       Step     Time          Energy          fmax
MDMin:    0 03:52:01    -2396.403864        0.148741
MDMin:    1 03:52:03    -2396.403865        0.148720
MDMin:    2 03:52:06    -2396.403867        0.148660
MDMin:    3 03:52:08    -2396.403870        0.148559
MDMin:    4 03:52:10    -2396.403874        0.148418
MDMin:    5 03:52:12    -2396.403879        0.148238
MDMin:    6 03:52:14    -2396.403886        0.148020
MDMin:    7 03:52:16    -2396.403894        0.147764
MDMin:    8 03:52:18    -2396.403903        0.147470
MDMin:    9 03:52:20    -2396.403913        0.147142
MDMin:   10 03:52:22    -2396.403924        0.146779
MDMin:   11 03:52:24    -2396.403937        0.146383
MDMin:   12 03:52:26    -2396.403950        0.145955
MDMin:   13 03:52:28    -2396.403965        0.145497
MDMin:   14 03:52:30    -2396.403981        0.145011
MDMin:   15 03:52:32    -2396.403998        0.144499
MDMin:   16 03:52:34    -2396.404016        0.144005
MDMin:   17 03:52:35    -2396.404035        0.143531
MDMin:   18 03:52:37    -2396.404055        0.143030
MDMin:   19 03:52:39    -2396.404076        0.142505
MDMin:   20 03:52:42    -2396.404099        0.141956
MDMin:   21 03:52:44    -2396.404122        0.141384
MDMin:   22 03:52:46    -2396.404146        0.140791
MDMin:   23 03:52:48    -2396.404172        0.140178
MDMin:   24 03:52:49    -2396.404198        0.139545
MDMin:   25 03:52:51    -2396.404225        0.138896
MDMin:   26 03:52:53    -2396.404253        0.138230
MDMin:   27 03:52:55    -2396.404282        0.137551
MDMin:   28 03:52:57    -2396.404312        0.136859
MDMin:   29 03:52:59    -2396.404342        0.136158
MDMin:   30 03:53:01    -2396.404374        0.135448
MDMin:   31 03:53:03    -2396.404406        0.134732
MDMin:   32 03:53:05    -2396.404439        0.134013
MDMin:   33 03:53:07    -2396.404473        0.133292
MDMin:   34 03:53:09    -2396.404508        0.132573
MDMin:   35 03:53:11    -2396.404543        0.131858
MDMin:   36 03:53:13    -2396.404579        0.131150
MDMin:   37 03:53:16    -2396.404615        0.130452
MDMin:   38 03:53:18    -2396.404652        0.129765
MDMin:   39 03:53:20    -2396.404690        0.129094
MDMin:   40 03:53:22    -2396.404728        0.128469
MDMin:   41 03:53:24    -2396.404767        0.127883
MDMin:   42 03:53:26    -2396.404807        0.127312
MDMin:   43 03:53:28    -2396.404846        0.126755
MDMin:   44 03:53:30    -2396.404887        0.126214
MDMin:   45 03:53:31    -2396.404927        0.125688
MDMin:   46 03:53:33    -2396.404969        0.125177
MDMin:   47 03:53:34    -2396.405010        0.124682
MDMin:   48 03:53:36    -2396.405052        0.124707
MDMin:   49 03:53:38    -2396.405094        0.124893
MDMin:   50 03:53:40    -2396.405137        0.125085
MDMin:   51 03:53:42    -2396.405179        0.126025
MDMin:   52 03:53:44    -2396.405222        0.127576
MDMin:   53 03:53:46    -2396.405266        0.129159
MDMin:   54 03:53:48    -2396.405309        0.130773
MDMin:   55 03:53:50    -2396.405353        0.132415
MDMin:   56 03:53:51    -2396.405397        0.134084
MDMin:   57 03:53:52    -2396.405441        0.135775
MDMin:   58 03:53:54    -2396.405485        0.137486
MDMin:   59 03:53:56    -2396.405530        0.139213
MDMin:   60 03:53:58    -2396.405575        0.140952
MDMin:   61 03:54:00    -2396.405619        0.142698
MDMin:   62 03:54:02    -2396.405664        0.144446
MDMin:   63 03:54:04    -2396.405709        0.146190
MDMin:   64 03:54:06    -2396.405754        0.147925
MDMin:   65 03:54:08    -2396.405799        0.149644
MDMin:   66 03:54:09    -2396.405845        0.151340
MDMin:   67 03:54:12    -2396.405890        0.153005
MDMin:   68 03:54:13    -2396.405936        0.154631
MDMin:   69 03:54:15    -2396.405981        0.156209
MDMin:   70 03:54:17    -2396.406027        0.157731
MDMin:   71 03:54:19    -2396.406073        0.159186
MDMin:   72 03:54:20    -2396.406118        0.160566
MDMin:   73 03:54:22    -2396.406164        0.161861
MDMin:   74 03:54:24    -2396.406210        0.163059
MDMin:   75 03:54:26    -2396.406256        0.164151
MDMin:   76 03:54:28    -2396.406302        0.165126
MDMin:   77 03:54:30    -2396.406349        0.165973
MDMin:   78 03:54:31    -2396.406395        0.166683
MDMin:   79 03:54:33    -2396.406441        0.167245
MDMin:   80 03:54:35    -2396.406488        0.167650
MDMin:   81 03:54:37    -2396.406534        0.167888
MDMin:   82 03:54:39    -2396.406581        0.167953
MDMin:   83 03:54:41    -2396.406628        0.167835
MDMin:   84 03:54:43    -2396.406674        0.167528
MDMin:   85 03:54:46    -2396.406721        0.167028
MDMin:   86 03:54:48    -2396.406769        0.166329
MDMin:   87 03:54:50    -2396.406816        0.165430
MDMin:   88 03:54:52    -2396.406863        0.164327
MDMin:   89 03:54:54    -2396.406911        0.163026
MDMin:   90 03:54:56    -2396.406958        0.161540
MDMin:   91 03:54:58    -2396.407006        0.159869
MDMin:   92 03:55:00    -2396.407054        0.161993
MDMin:   93 03:55:01    -2396.407102        0.164200
MDMin:   94 03:55:04    -2396.407150        0.166415
MDMin:   95 03:55:06    -2396.407199        0.168632
MDMin:   96 03:55:07    -2396.407247        0.170848
MDMin:   97 03:55:09    -2396.407296        0.173057
MDMin:   98 03:55:10    -2396.407345        0.175255
MDMin:   99 03:55:12    -2396.407394        0.177436
MDMin:  100 03:55:13    -2396.407444        0.179593
MDMin:  101 03:55:14    -2396.407493        0.181719
MDMin:  102 03:55:16    -2396.407543        0.183807
MDMin:  103 03:55:17    -2396.407593        0.185846
MDMin:  104 03:55:18    -2396.407643        0.187830
MDMin:  105 03:55:20    -2396.407694        0.189747
MDMin:  106 03:55:22    -2396.407745        0.191587
MDMin:  107 03:55:24    -2396.407795        0.193340
MDMin:  108 03:55:25    -2396.407847        0.194995
MDMin:  109 03:55:27    -2396.407898        0.196538
MDMin:  110 03:55:29    -2396.407950        0.197960
MDMin:  111 03:55:31    -2396.408002        0.199246
MDMin:  112 03:55:33    -2396.408054        0.200387
MDMin:  113 03:55:35    -2396.408107        0.201369
MDMin:  114 03:55:37    -2396.408160        0.202182
MDMin:  115 03:55:39    -2396.408213        0.202815
MDMin:  116 03:55:41    -2396.408267        0.203259
MDMin:  117 03:55:43    -2396.408320        0.203504
MDMin:  118 03:55:45    -2396.408375        0.203543
MDMin:  119 03:55:46    -2396.408429        0.203370
MDMin:  120 03:55:48    -2396.408485        0.202979
MDMin:  121 03:55:50    -2396.408540        0.202365
MDMin:  122 03:55:52    -2396.408596        0.201525
MDMin:  123 03:55:54    -2396.408652        0.200462
MDMin:  124 03:55:56    -2396.408709        0.199175
MDMin:  125 03:55:58    -2396.408766        0.197681
MDMin:  126 03:56:00    -2396.408821        0.196021
MDMin:  127 03:56:02    -2396.408872        0.253681
MDMin:  128 03:56:03    -2396.408912        0.239795
MDMin:  129 03:56:04    -2396.408941        0.195806
MDMin:  130 03:56:06    -2396.408968        0.196628
MDMin:  131 03:56:08    -2396.408995        0.197412
MDMin:  132 03:56:10    -2396.409022        0.198173
MDMin:  133 03:56:12    -2396.409050        0.198906
MDMin:  134 03:56:14    -2396.409078        0.199609
MDMin:  135 03:56:16    -2396.409107        0.200278
MDMin:  136 03:56:18    -2396.409137        0.200909
MDMin:  137 03:56:20    -2396.409167        0.201498
MDMin:  138 03:56:22    -2396.409198        0.202041
MDMin:  139 03:56:23    -2396.409229        0.202533
MDMin:  140 03:56:25    -2396.409261        0.202970
MDMin:  141 03:56:26    -2396.409294        0.203346
MDMin:  142 03:56:28    -2396.409327        0.203658
MDMin:  143 03:56:30    -2396.409360        0.203900
MDMin:  144 03:56:32    -2396.409395        0.204922
MDMin:  145 03:56:34    -2396.409430        0.206237
MDMin:  146 03:56:36    -2396.409465        0.207631
MDMin:  147 03:56:38    -2396.409502        0.209112
MDMin:  148 03:56:39    -2396.409539        0.210689
MDMin:  149 03:56:41    -2396.409576        0.212373
MDMin:  150 03:56:43    -2396.409615        0.214174
MDMin:  151 03:56:44    -2396.409654        0.216103
MDMin:  152 03:56:46    -2396.409693        0.218175
MDMin:  153 03:56:48    -2396.409733        0.220401
MDMin:  154 03:56:50    -2396.409774        0.222795
