# image  E(eV)  dE_from_IS(eV)
0.0000  -2398.157466  +0.0000
0.0526  -2397.891358  +0.2661
0.1053  -2397.819984  +0.3375
0.1579  -2397.830324  +0.3271
0.2105  -2397.818909  +0.3386
0.2632  -2397.754184  +0.4033
0.3158  -2397.714119  +0.4433
0.3684  -2397.729062  +0.4284
0.4211  -2397.807478  +0.3500
0.4737  -2397.950059  +0.2074
0.5263  -2398.104333  +0.0531
0.5789  -2398.250838  -0.0934
0.6316  -2398.385304  -0.2278
0.6842  -2398.498895  -0.3414
0.7368  -2398.589108  -0.4316
0.7895  -2398.651612  -0.4941
0.8421  -2398.796348  -0.6389
0.8947  -2398.941397  -0.7839
0.9474  -2398.841452  -0.6840
1.0000  -2398.716051  -0.5586
