# image  E(eV)  dE_from_IS(eV)
0.0000  -2398.157466  +0.0000
0.0526  -2398.011595  +0.1459
0.1053  -2397.769443  +0.3880
0.1579  -2397.820982  +0.3365
0.2105  -2397.784241  +0.3732
0.2632  -2397.732634  +0.4248
0.3158  -2397.714198  +0.4433
0.3684  -2397.731695  +0.4258
0.4211  -2397.824373  +0.3331
0.4737  -2397.983457  +0.1740
0.5263  -2398.148510  +0.0090
0.5789  -2398.303007  -0.1455
0.6316  -2398.436687  -0.2792
0.6842  -2398.538460  -0.3810
0.7368  -2398.609190  -0.4517
0.7895  -2398.659671  -0.5022
0.8421  -2398.818657  -0.6612
0.8947  -2398.929837  -0.7724
0.9474  -2399.072463  -0.9150
1.0000  -2399.269654  -1.1122
