# image  E(eV)  dE_from_IS(eV)
0.0000  -2398.157466  +0.0000
0.0526  -2397.888571  +0.2689
0.1053  -2397.823422  +0.3340
0.1579  -2397.830392  +0.3271
0.2105  -2397.828218  +0.3292
0.2632  -2397.798732  +0.3587
0.3158  -2397.739444  +0.4180
0.3684  -2397.714154  +0.4433
0.4211  -2397.732499  +0.4250
0.4737  -2397.829896  +0.3276
0.5263  -2397.993670  +0.1638
0.5789  -2398.162093  -0.0046
0.6316  -2398.321457  -0.1640
0.6842  -2398.462400  -0.3049
0.7368  -2398.575378  -0.4179
0.7895  -2398.645703  -0.4882
0.8421  -2398.779596  -0.6221
0.8947  -2398.937537  -0.7801
0.9474  -2398.839247  -0.6818
1.0000  -2398.926076  -0.7686
